budget,stratum,person_id,inclusion_probability,design_weight
4500,north_early,P1-0001,0.25,4.0
4500,north_early,P1-0002,0.25,4.0
4500,north_early,P1-0005,0.25,4.0
4500,north_early,P1-0006,0.25,4.0
4500,north_early,P1-0016,0.25,4.0
4500,north_early,P1-0017,0.25,4.0
4500,north_early,P1-0018,0.25,4.0
4500,north_early,P1-0019,0.25,4.0
4500,north_early,P1-0025,0.25,4.0
4500,north_early,P1-0031,0.25,4.0
4500,north_early,P1-0032,0.25,4.0
4500,north_early,P1-0040,0.25,4.0
4500,north_early,P1-0042,0.25,4.0
4500,north_early,P1-0044,0.25,4.0
4500,north_early,P1-0052,0.25,4.0
4500,north_early,P1-0054,0.25,4.0
4500,north_early,P1-0057,0.25,4.0
4500,north_early,P1-0061,0.25,4.0
4500,north_early,P1-0063,0.25,4.0
4500,north_early,P1-0074,0.25,4.0
4500,north_early,P1-0078,0.25,4.0
4500,north_early,P1-0083,0.25,4.0
4500,north_early,P1-0088,0.25,4.0
4500,north_early,P1-0089,0.25,4.0
4500,north_early,P1-0090,0.25,4.0
4500,north_early,P1-0092,0.25,4.0
4500,north_early,P1-0093,0.25,4.0
4500,north_early,P1-0105,0.25,4.0
4500,north_early,P1-0106,0.25,4.0
4500,north_early,P1-0108,0.25,4.0
4500,north_early,P1-0117,0.25,4.0
4500,north_early,P1-0121,0.25,4.0
4500,north_early,P1-0122,0.25,4.0
4500,north_early,P1-0123,0.25,4.0
4500,north_early,P1-0125,0.25,4.0
4500,north_early,P1-0134,0.25,4.0
4500,north_early,P1-0140,0.25,4.0
4500,north_early,P1-0148,0.25,4.0
4500,north_early,P1-0152,0.25,4.0
4500,north_early,P1-0155,0.25,4.0
4500,north_early,P1-0157,0.25,4.0
4500,north_early,P1-0158,0.25,4.0
4500,north_early,P1-0159,0.25,4.0
4500,north_early,P1-0174,0.25,4.0
4500,north_early,P1-0177,0.25,4.0
4500,north_early,P1-0184,0.25,4.0
4500,north_early,P1-0196,0.25,4.0
4500,north_early,P1-0201,0.25,4.0
4500,north_early,P1-0204,0.25,4.0
4500,north_early,P1-0208,0.25,4.0
4500,north_early,P1-0217,0.25,4.0
4500,north_early,P1-0219,0.25,4.0
4500,north_early,P1-0227,0.25,4.0
4500,north_early,P1-0228,0.25,4.0
4500,north_early,P1-0229,0.25,4.0
4500,north_early,P1-0232,0.25,4.0
4500,north_early,P1-0235,0.25,4.0
4500,north_early,P1-0243,0.25,4.0
4500,north_early,P1-0254,0.25,4.0
4500,north_early,P1-0255,0.25,4.0
4500,north_early,P1-0260,0.25,4.0
4500,north_early,P1-0263,0.25,4.0
4500,north_early,P1-0268,0.25,4.0
4500,north_early,P1-0270,0.25,4.0
4500,north_early,P1-0275,0.25,4.0
4500,north_early,P1-0279,0.25,4.0
4500,north_early,P1-0281,0.25,4.0
4500,north_early,P1-0283,0.25,4.0
4500,north_early,P1-0284,0.25,4.0
4500,north_early,P1-0286,0.25,4.0
4500,north_early,P1-0288,0.25,4.0
4500,north_early,P1-0294,0.25,4.0
4500,north_early,P1-0295,0.25,4.0
4500,north_early,P1-0297,0.25,4.0
4500,north_early,P1-0298,0.25,4.0
4500,north_early,P1-0305,0.25,4.0
4500,north_early,P1-0310,0.25,4.0
4500,north_early,P1-0313,0.25,4.0
4500,north_early,P1-0314,0.25,4.0
4500,north_early,P1-0316,0.25,4.0
4500,north_early,P1-0320,0.25,4.0
4500,north_early,P1-0326,0.25,4.0
4500,north_early,P1-0327,0.25,4.0
4500,north_early,P1-0329,0.25,4.0
4500,north_early,P1-0331,0.25,4.0
4500,north_early,P1-0333,0.25,4.0
4500,north_early,P1-0335,0.25,4.0
4500,north_early,P1-0341,0.25,4.0
4500,north_early,P1-0342,0.25,4.0
4500,north_early,P1-0344,0.25,4.0
4500,north_early,P1-0350,0.25,4.0
4500,north_early,P1-0354,0.25,4.0
4500,north_early,P1-0358,0.25,4.0
4500,north_early,P1-0361,0.25,4.0
4500,north_early,P1-0363,0.25,4.0
4500,north_early,P1-0365,0.25,4.0
4500,north_early,P1-0366,0.25,4.0
4500,north_early,P1-0367,0.25,4.0
4500,north_early,P1-0371,0.25,4.0
4500,north_early,P1-0374,0.25,4.0
4500,north_early,P1-0376,0.25,4.0
4500,north_early,P1-0388,0.25,4.0
4500,north_early,P1-0403,0.25,4.0
4500,north_early,P1-0406,0.25,4.0
4500,north_early,P1-0413,0.25,4.0
4500,north_early,P1-0414,0.25,4.0
4500,north_early,P1-0417,0.25,4.0
4500,north_early,P1-0419,0.25,4.0
4500,north_early,P1-0421,0.25,4.0
4500,north_early,P1-0422,0.25,4.0
4500,north_early,P1-0426,0.25,4.0
4500,north_early,P1-0428,0.25,4.0
4500,north_early,P1-0436,0.25,4.0
4500,north_early,P1-0438,0.25,4.0
4500,north_early,P1-0439,0.25,4.0
4500,north_early,P1-0440,0.25,4.0
4500,north_early,P1-0460,0.25,4.0
4500,north_early,P1-0462,0.25,4.0
4500,north_early,P1-0463,0.25,4.0
4500,north_early,P1-0467,0.25,4.0
4500,north_early,P1-0468,0.25,4.0
4500,north_early,P1-0473,0.25,4.0
4500,north_early,P1-0480,0.25,4.0
4500,north_early,P1-0490,0.25,4.0
4500,north_early,P1-0498,0.25,4.0
4500,north_late,P2-0005,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0006,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0007,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0014,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0019,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0020,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0027,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0029,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0031,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0033,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0036,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0039,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0040,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0042,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0043,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0046,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0051,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0055,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0066,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0069,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0072,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0074,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0079,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0080,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0081,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0084,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0086,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0087,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0088,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0094,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0095,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0097,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0099,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0102,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0103,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0105,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0106,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0107,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0118,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0121,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0122,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0125,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0133,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0138,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0140,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0143,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0144,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0149,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0150,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0163,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0168,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0171,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0172,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0176,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0178,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0180,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0184,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0186,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0188,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0197,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0198,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0200,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0201,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0213,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0217,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0219,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0223,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0224,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0226,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0227,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0233,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0241,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0244,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0245,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0249,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0259,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0263,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0264,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0266,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0267,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0270,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0272,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0278,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0280,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0282,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0287,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0288,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0291,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0293,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0297,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0301,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0302,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0304,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0306,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0307,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0311,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0314,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0316,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0317,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0318,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0322,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0332,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0333,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0334,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0340,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0343,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0347,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0352,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0354,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0357,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0358,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0365,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0376,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0384,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0387,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0393,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0394,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0404,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0406,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0408,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0410,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0413,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0417,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0422,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0425,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0427,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0430,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0438,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0439,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0441,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0442,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0451,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0462,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0463,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0464,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0466,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0469,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0470,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0480,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0482,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0483,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0491,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0492,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0496,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0499,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0500,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0502,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0509,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0513,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0514,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0519,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0520,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0526,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0532,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0533,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0538,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0539,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0552,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0554,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0556,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0558,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0559,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0564,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0566,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0569,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0572,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0579,0.2957142857142857,3.3816425120772946
4500,north_late,P2-0580,0.2957142857142857,3.3816425120772946
