date,batch,max_reviews
2026-05-04,development,20
2026-05-05,development,20
2026-05-06,development,20
2026-05-07,development,20
2026-05-08,development,20
2026-05-09,development,15
2026-05-10,development,15
2026-05-11,development,20
2026-05-12,development,20
2026-05-13,development,20
2026-05-14,development,20
2026-05-15,development,20
2026-05-16,development,15
2026-05-17,development,15
2026-05-18,development,20
2026-05-19,development,20
2026-05-20,development,20
2026-05-21,development,20
2026-05-22,development,20
2026-05-23,development,15
2026-05-24,development,15
2026-05-25,development,20
2026-05-26,development,20
2026-05-27,development,20
2026-05-28,development,20
2026-05-29,development,20
2026-05-30,development,15
2026-05-31,development,15
2026-06-01,development,20
2026-06-02,development,20
2026-06-03,development,20
2026-06-04,development,20
2026-06-05,development,20
2026-06-06,development,15
2026-06-07,development,15
2026-06-08,development,20
2026-06-09,development,20
2026-06-10,development,20
2026-06-11,development,20
2026-06-12,development,20
2026-06-13,development,15
2026-06-14,development,15
2026-06-15,evaluation,20
2026-06-16,evaluation,20
2026-06-17,evaluation,20
2026-06-18,evaluation,20
2026-06-19,evaluation,20
2026-06-20,evaluation,15
2026-06-21,evaluation,15
2026-06-22,evaluation,20
2026-06-23,evaluation,20
2026-06-24,evaluation,20
2026-06-25,evaluation,20
2026-06-26,evaluation,20
2026-06-27,evaluation,15
2026-06-28,evaluation,15
