record_id,date,device_id,risk_score,failure_within_24h
2026-05-04-D001,2026-05-04,D001,18.8,0
2026-05-04-D002,2026-05-04,D002,72.4,0
2026-05-04-D003,2026-05-04,D003,52.4,0
2026-05-04-D004,2026-05-04,D004,83.8,0
2026-05-04-D005,2026-05-04,D005,54.4,0
2026-05-04-D006,2026-05-04,D006,14.7,0
2026-05-04-D007,2026-05-04,D007,36.9,0
2026-05-04-D008,2026-05-04,D008,43.7,1
2026-05-04-D009,2026-05-04,D009,73.6,0
2026-05-04-D010,2026-05-04,D010,24.3,0
2026-05-04-D011,2026-05-04,D011,51.2,0
2026-05-04-D012,2026-05-04,D012,44.1,0
2026-05-04-D013,2026-05-04,D013,21.9,0
2026-05-04-D014,2026-05-04,D014,67.8,0
2026-05-04-D015,2026-05-04,D015,16.8,0
2026-05-04-D016,2026-05-04,D016,44.1,0
2026-05-04-D017,2026-05-04,D017,43.4,0
2026-05-04-D018,2026-05-04,D018,41.3,0
2026-05-04-D019,2026-05-04,D019,57.8,0
2026-05-04-D020,2026-05-04,D020,23.0,0
2026-05-04-D021,2026-05-04,D021,57.8,0
2026-05-04-D022,2026-05-04,D022,66.0,0
2026-05-04-D023,2026-05-04,D023,23.3,0
2026-05-04-D024,2026-05-04,D024,20.2,0
2026-05-04-D025,2026-05-04,D025,43.3,0
2026-05-04-D026,2026-05-04,D026,45.5,0
2026-05-04-D027,2026-05-04,D027,12.7,0
2026-05-04-D028,2026-05-04,D028,22.4,0
2026-05-04-D029,2026-05-04,D029,60.2,0
2026-05-04-D030,2026-05-04,D030,69.3,0
2026-05-04-D031,2026-05-04,D031,20.3,0
2026-05-04-D032,2026-05-04,D032,41.5,0
2026-05-04-D033,2026-05-04,D033,18.3,0
2026-05-04-D034,2026-05-04,D034,44.6,0
2026-05-04-D035,2026-05-04,D035,68.5,0
2026-05-04-D036,2026-05-04,D036,36.7,0
2026-05-04-D037,2026-05-04,D037,29.2,0
2026-05-04-D038,2026-05-04,D038,70.8,0
2026-05-04-D039,2026-05-04,D039,57.3,1
2026-05-04-D040,2026-05-04,D040,11.0,0
2026-05-04-D041,2026-05-04,D041,23.0,0
2026-05-04-D042,2026-05-04,D042,31.4,0
2026-05-04-D043,2026-05-04,D043,22.0,0
2026-05-04-D044,2026-05-04,D044,80.7,0
2026-05-04-D045,2026-05-04,D045,63.0,0
2026-05-04-D046,2026-05-04,D046,73.3,0
2026-05-04-D047,2026-05-04,D047,16.9,0
2026-05-04-D048,2026-05-04,D048,37.7,0
2026-05-04-D049,2026-05-04,D049,57.4,0
2026-05-04-D050,2026-05-04,D050,22.6,0
2026-05-04-D051,2026-05-04,D051,34.0,0
2026-05-04-D052,2026-05-04,D052,76.6,1
2026-05-04-D053,2026-05-04,D053,19.0,0
2026-05-04-D054,2026-05-04,D054,11.1,0
2026-05-04-D055,2026-05-04,D055,89.3,1
2026-05-04-D056,2026-05-04,D056,31.5,0
2026-05-04-D057,2026-05-04,D057,6.2,0
2026-05-04-D058,2026-05-04,D058,36.1,0
2026-05-04-D059,2026-05-04,D059,49.5,0
2026-05-04-D060,2026-05-04,D060,22.0,0
2026-05-04-D061,2026-05-04,D061,36.3,0
2026-05-04-D062,2026-05-04,D062,46.6,0
2026-05-04-D063,2026-05-04,D063,19.2,0
2026-05-04-D064,2026-05-04,D064,24.3,0
2026-05-04-D065,2026-05-04,D065,34.6,0
2026-05-04-D066,2026-05-04,D066,17.2,0
2026-05-04-D067,2026-05-04,D067,17.7,0
2026-05-04-D068,2026-05-04,D068,31.3,0
2026-05-04-D069,2026-05-04,D069,29.6,0
2026-05-04-D070,2026-05-04,D070,34.8,0
2026-05-04-D071,2026-05-04,D071,25.7,0
2026-05-04-D072,2026-05-04,D072,54.6,0
2026-05-04-D073,2026-05-04,D073,31.5,0
2026-05-04-D074,2026-05-04,D074,46.5,0
2026-05-04-D075,2026-05-04,D075,26.2,0
2026-05-04-D076,2026-05-04,D076,29.1,1
