device_id,campus,device_class,miss_loss,inspection_cost,prevention_fraction
D001,东区,一般,800,40,0.85
D002,东区,重要,3000,70,0.85
D003,东区,关键,10000,120,0.85
D004,西区,一般,800,40,0.85
D005,西区,重要,3000,70,0.85
D006,西区,关键,10000,120,0.85
D007,南区,一般,800,40,0.85
D008,南区,重要,3000,70,0.85
D009,南区,关键,10000,120,0.85
D010,东区,一般,800,40,0.85
D011,东区,重要,3000,70,0.85
D012,东区,关键,10000,120,0.85
D013,西区,一般,800,40,0.85
D014,西区,重要,3000,70,0.85
D015,西区,关键,10000,120,0.85
D016,南区,一般,800,40,0.85
D017,南区,重要,3000,70,0.85
D018,南区,关键,10000,120,0.85
D019,东区,一般,800,40,0.85
D020,东区,重要,3000,70,0.85
D021,东区,关键,10000,120,0.85
D022,西区,一般,800,40,0.85
D023,西区,重要,3000,70,0.85
D024,西区,关键,10000,120,0.85
D025,南区,一般,800,40,0.85
D026,南区,重要,3000,70,0.85
D027,南区,关键,10000,120,0.85
D028,东区,一般,800,40,0.85
D029,东区,重要,3000,70,0.85
D030,东区,关键,10000,120,0.85
D031,西区,一般,800,40,0.85
D032,西区,重要,3000,70,0.85
D033,西区,关键,10000,120,0.85
D034,南区,一般,800,40,0.85
D035,南区,重要,3000,70,0.85
D036,南区,关键,10000,120,0.85
D037,东区,一般,800,40,0.85
D038,东区,重要,3000,70,0.85
D039,东区,关键,10000,120,0.85
D040,西区,一般,800,40,0.85
D041,西区,重要,3000,70,0.85
D042,西区,关键,10000,120,0.85
D043,南区,一般,800,40,0.85
D044,南区,重要,3000,70,0.85
D045,南区,关键,10000,120,0.85
D046,东区,一般,800,40,0.85
D047,东区,重要,3000,70,0.85
D048,东区,关键,10000,120,0.85
D049,西区,一般,800,40,0.85
D050,西区,重要,3000,70,0.85
D051,西区,关键,10000,120,0.85
D052,南区,一般,800,40,0.85
D053,南区,重要,3000,70,0.85
D054,南区,关键,10000,120,0.85
D055,东区,一般,800,40,0.85
D056,东区,重要,3000,70,0.85
D057,东区,关键,10000,120,0.85
D058,西区,一般,800,40,0.85
D059,西区,重要,3000,70,0.85
D060,西区,关键,10000,120,0.85
D061,南区,一般,800,40,0.85
D062,南区,重要,3000,70,0.85
D063,南区,关键,10000,120,0.85
D064,东区,一般,800,40,0.85
D065,东区,重要,3000,70,0.85
D066,东区,关键,10000,120,0.85
D067,西区,一般,800,40,0.85
D068,西区,重要,3000,70,0.85
D069,西区,关键,10000,120,0.85
D070,南区,一般,800,40,0.85
D071,南区,重要,3000,70,0.85
D072,南区,关键,10000,120,0.85
D073,东区,一般,800,40,0.85
D074,东区,重要,3000,70,0.85
D075,东区,关键,10000,120,0.85
D076,西区,一般,800,40,0.85
D077,西区,重要,3000,70,0.85
D078,西区,关键,10000,120,0.85
D079,南区,一般,800,40,0.85
D080,南区,重要,3000,70,0.85
D081,南区,关键,10000,120,0.85
D082,东区,一般,800,40,0.85
D083,东区,重要,3000,70,0.85
D084,东区,关键,10000,120,0.85
D085,西区,一般,800,40,0.85
D086,西区,重要,3000,70,0.85
D087,西区,关键,10000,120,0.85
D088,南区,一般,800,40,0.85
D089,南区,重要,3000,70,0.85
D090,南区,关键,10000,120,0.85
