record_id,date,device_id,risk_score,failure_within_24h
2026-06-15-D001,2026-06-15,D001,55.6,0
2026-06-15-D002,2026-06-15,D002,99.0,1
2026-06-15-D003,2026-06-15,D003,22.7,0
2026-06-15-D004,2026-06-15,D004,52.8,0
2026-06-15-D005,2026-06-15,D005,86.2,0
2026-06-15-D006,2026-06-15,D006,10.9,0
2026-06-15-D007,2026-06-15,D007,57.0,0
2026-06-15-D008,2026-06-15,D008,15.9,0
2026-06-15-D009,2026-06-15,D009,3.5,0
2026-06-15-D010,2026-06-15,D010,54.2,0
2026-06-15-D011,2026-06-15,D011,74.7,1
2026-06-15-D012,2026-06-15,D012,63.5,0
2026-06-15-D013,2026-06-15,D013,64.0,0
2026-06-15-D014,2026-06-15,D014,46.7,0
2026-06-15-D015,2026-06-15,D015,42.1,1
2026-06-15-D016,2026-06-15,D016,10.9,0
2026-06-15-D017,2026-06-15,D017,22.7,0
2026-06-15-D018,2026-06-15,D018,13.1,0
2026-06-15-D019,2026-06-15,D019,76.1,0
2026-06-15-D020,2026-06-15,D020,48.0,0
2026-06-15-D021,2026-06-15,D021,14.4,0
2026-06-15-D022,2026-06-15,D022,40.5,0
2026-06-15-D023,2026-06-15,D023,35.3,0
2026-06-15-D024,2026-06-15,D024,14.2,0
2026-06-15-D025,2026-06-15,D025,51.4,0
2026-06-15-D026,2026-06-15,D026,42.4,0
2026-06-15-D027,2026-06-15,D027,1.4,0
2026-06-15-D028,2026-06-15,D028,65.3,1
2026-06-15-D029,2026-06-15,D029,29.6,0
2026-06-15-D030,2026-06-15,D030,4.0,0
2026-06-15-D031,2026-06-15,D031,35.1,1
2026-06-15-D032,2026-06-15,D032,14.2,0
2026-06-15-D033,2026-06-15,D033,71.9,1
2026-06-15-D034,2026-06-15,D034,64.7,0
2026-06-15-D035,2026-06-15,D035,15.3,0
2026-06-15-D036,2026-06-15,D036,4.5,0
2026-06-15-D037,2026-06-15,D037,48.4,0
2026-06-15-D038,2026-06-15,D038,17.7,0
2026-06-15-D039,2026-06-15,D039,63.7,0
2026-06-15-D040,2026-06-15,D040,56.4,0
2026-06-15-D041,2026-06-15,D041,14.5,0
2026-06-15-D042,2026-06-15,D042,58.2,0
2026-06-15-D043,2026-06-15,D043,46.8,0
2026-06-15-D044,2026-06-15,D044,14.9,0
2026-06-15-D045,2026-06-15,D045,0,0
2026-06-15-D046,2026-06-15,D046,45.6,1
2026-06-15-D047,2026-06-15,D047,71.9,0
2026-06-15-D048,2026-06-15,D048,21.0,0
2026-06-15-D049,2026-06-15,D049,17.5,0
2026-06-15-D050,2026-06-15,D050,21.3,0
2026-06-15-D051,2026-06-15,D051,23.4,0
2026-06-15-D052,2026-06-15,D052,7.4,0
2026-06-15-D053,2026-06-15,D053,6.0,0
2026-06-15-D054,2026-06-15,D054,23.4,0
2026-06-15-D055,2026-06-15,D055,36.4,0
2026-06-15-D056,2026-06-15,D056,24.3,0
2026-06-15-D057,2026-06-15,D057,58.3,0
2026-06-15-D058,2026-06-15,D058,10.5,0
2026-06-15-D059,2026-06-15,D059,49.8,0
2026-06-15-D060,2026-06-15,D060,64.1,1
2026-06-15-D061,2026-06-15,D061,63.1,0
2026-06-15-D062,2026-06-15,D062,43.8,0
2026-06-15-D063,2026-06-15,D063,4.6,0
2026-06-15-D064,2026-06-15,D064,59.6,0
2026-06-15-D065,2026-06-15,D065,27.0,0
2026-06-15-D066,2026-06-15,D066,90.4,1
2026-06-15-D067,2026-06-15,D067,69.9,0
2026-06-15-D068,2026-06-15,D068,10.1,0
2026-06-15-D069,2026-06-15,D069,21.6,0
2026-06-15-D070,2026-06-15,D070,29.7,0
2026-06-15-D071,2026-06-15,D071,66.1,0
2026-06-15-D072,2026-06-15,D072,19.8,1
2026-06-15-D073,2026-06-15,D073,65.9,0
2026-06-15-D074,2026-06-15,D074,48.7,0
2026-06-15-D075,2026-06-15,D075,38.9,0
2026-06-15-D076,2026-06-15,D076,45.2,0
2026-06-15-D077,2026-06-15,D077,16.8,0
2026-06-15-D078,2026-06-15,D078,72.4,0
2026-06-15-D079,2026-06-15,D079,65.6,0
2026-06-15-D080,2026-06-15,D080,36.4,0
2026-06-15-D081,2026-06-15,D081,38.4,0
2026-06-15-D082,2026-06-15,D082,30.7,0
2026-06-15-D083,2026-06-15,D083,13.7,0
2026-06-15-D084,2026-06-15,D084,9.4,0
2026-06-15-D085,2026-06-15,D085,17.0,0
2026-06-15-D086,2026-06-15,D086,82.0,1
2026-06-15-D087,2026-06-15,D087,62.7,0
2026-06-15-D088,2026-06-15,D088,18.7,0
2026-06-15-D089,2026-06-15,D089,36.1,0
2026-06-15-D090,2026-06-15,D090,2.8,0
2026-06-16-D001,2026-06-16,D001,54.8,0
2026-06-16-D002,2026-06-16,D002,38.8,0
2026-06-16-D003,2026-06-16,D003,11.1,0
2026-06-16-D004,2026-06-16,D004,53.6,0
2026-06-16-D005,2026-06-16,D005,32.2,0
2026-06-16-D006,2026-06-16,D006,37.7,0
2026-06-16-D007,2026-06-16,D007,65.6,0
2026-06-16-D008,2026-06-16,D008,13.3,0
2026-06-16-D009,2026-06-16,D009,56.3,1
2026-06-16-D010,2026-06-16,D010,71.1,0
2026-06-16-D011,2026-06-16,D011,45.3,0
2026-06-16-D012,2026-06-16,D012,64.2,1
2026-06-16-D013,2026-06-16,D013,25.1,0
2026-06-16-D014,2026-06-16,D014,34.6,0
2026-06-16-D015,2026-06-16,D015,32.6,1
2026-06-16-D016,2026-06-16,D016,10.9,0
2026-06-16-D017,2026-06-16,D017,43.0,0
2026-06-16-D018,2026-06-16,D018,5.8,0
2026-06-16-D019,2026-06-16,D019,37.6,0
2026-06-16-D020,2026-06-16,D020,28.9,0
2026-06-16-D021,2026-06-16,D021,24.6,0
2026-06-16-D022,2026-06-16,D022,32.8,0
2026-06-16-D023,2026-06-16,D023,76.7,1
2026-06-16-D024,2026-06-16,D024,35.9,0
2026-06-16-D025,2026-06-16,D025,72.7,0
2026-06-16-D026,2026-06-16,D026,10.3,0
2026-06-16-D027,2026-06-16,D027,38.0,0
2026-06-16-D028,2026-06-16,D028,51.8,0
2026-06-16-D029,2026-06-16,D029,42.5,0
2026-06-16-D030,2026-06-16,D030,38.3,1
2026-06-16-D031,2026-06-16,D031,41.8,0
2026-06-16-D032,2026-06-16,D032,31.5,0
2026-06-16-D033,2026-06-16,D033,9.3,0
2026-06-16-D034,2026-06-16,D034,24.4,0
2026-06-16-D035,2026-06-16,D035,13.1,0
2026-06-16-D036,2026-06-16,D036,12.7,0
