day,arm,n_assigned,n_observed,conversions
1,usual,40,39,11
1,tool,40,34,12
2,usual,40,38,8
2,tool,40,38,11
3,usual,40,39,16
3,tool,40,38,14
4,usual,40,39,23
4,tool,40,38,17
5,usual,40,38,14
5,tool,40,39,18
6,usual,40,38,17
6,tool,40,38,12
7,usual,40,39,16
7,tool,40,35,16
8,usual,40,38,17
8,tool,40,37,21
9,usual,40,39,15
9,tool,40,38,17
10,usual,40,38,13
10,tool,40,37,13
11,usual,40,39,8
11,tool,40,39,20
12,usual,40,40,13
12,tool,40,37,13
13,usual,40,39,11
13,tool,40,37,13
14,usual,40,39,13
14,tool,40,36,10
15,usual,40,40,17
15,tool,40,34,13
16,usual,40,37,10
16,tool,40,35,14
17,usual,40,38,13
17,tool,40,39,10
18,usual,40,40,13
18,tool,40,38,15
19,usual,40,39,15
19,tool,40,39,13
20,usual,40,38,13
20,tool,40,39,13
21,usual,40,39,15
21,tool,40,34,10
22,usual,40,36,9
22,tool,40,35,10
23,usual,40,39,10
23,tool,40,37,15
24,usual,40,36,11
24,tool,40,39,12
25,usual,40,39,6
25,tool,40,37,9
26,usual,40,36,10
26,tool,40,36,12
27,usual,40,40,10
27,tool,40,36,13
28,usual,40,38,7
28,tool,40,37,13
29,usual,40,38,12
29,tool,40,39,11
30,usual,40,38,7
30,tool,40,36,12
