person_id,team,assigned_arm,metric,value
E01-01,T01,tool,handling_minutes,55.12059
E01-01,T01,tool,error_rate,0.02194
E01-01,T01,tool,quality_score,84.49275
E01-01,T01,tool,weekly_output,33
E01-01,T01,tool,fatigue_score,54.75154
E01-01,T01,tool,satisfaction,62.33328
E01-01,T01,tool,training_minutes,33.06986
E01-01,T01,tool,handoff_count,5
E01-01,T01,tool,rework_minutes,11.50143
E01-01,T01,tool,escalations,5
E01-01,T01,tool,confidence_score,65.76268
E01-01,T01,tool,workload_score,48.99874
E01-02,T01,tool,handling_minutes,42.61908
E01-02,T01,tool,error_rate,0.0335
E01-02,T01,tool,quality_score,74.45833
E01-02,T01,tool,weekly_output,32
E01-02,T01,tool,fatigue_score,52.20851
E01-02,T01,tool,satisfaction,71.72873
E01-02,T01,tool,training_minutes,13.21877
E01-02,T01,tool,handoff_count,5
E01-02,T01,tool,rework_minutes,9.23873
E01-02,T01,tool,escalations,5
E01-02,T01,tool,confidence_score,62.9794
E01-02,T01,tool,workload_score,24.72028
E01-03,T01,tool,handling_minutes,52.76732
E01-03,T01,tool,error_rate,0.09979
E01-03,T01,tool,quality_score,97.52142
E01-03,T01,tool,weekly_output,40
E01-03,T01,tool,fatigue_score,44.0144
E01-03,T01,tool,satisfaction,71.30651
E01-03,T01,tool,training_minutes,28.93052
E01-03,T01,tool,handoff_count,3
E01-03,T01,tool,rework_minutes,6.14702
E01-03,T01,tool,escalations,5
E01-03,T01,tool,confidence_score,51.22196
E01-03,T01,tool,workload_score,49.26771
E01-04,T01,tool,handling_minutes,55.72266
E01-04,T01,tool,error_rate,0.06538
E01-04,T01,tool,quality_score,71.13626
E01-04,T01,tool,weekly_output,29
E01-04,T01,tool,fatigue_score,64.32335
E01-04,T01,tool,satisfaction,71.43404
E01-04,T01,tool,training_minutes,14.06961
E01-04,T01,tool,handoff_count,5
E01-04,T01,tool,rework_minutes,11.98325
E01-04,T01,tool,escalations,5
E01-04,T01,tool,confidence_score,69.19271
E01-04,T01,tool,workload_score,45.65995
E01-05,T01,tool,handling_minutes,42.86755
E01-05,T01,tool,error_rate,0.06836
E01-05,T01,tool,quality_score,81.53382
E01-05,T01,tool,weekly_output,33
E01-05,T01,tool,fatigue_score,48.38528
E01-05,T01,tool,satisfaction,58.03031
E01-05,T01,tool,training_minutes,16.97351
E01-05,T01,tool,handoff_count,6
E01-05,T01,tool,rework_minutes,9.61981
E01-05,T01,tool,escalations,6
E01-05,T01,tool,confidence_score,70.88929
E01-05,T01,tool,workload_score,45.01426
E01-06,T01,tool,handling_minutes,40.12656
E01-06,T01,tool,error_rate,0.0796
E01-06,T01,tool,quality_score,69.21704
E01-06,T01,tool,weekly_output,54
E01-06,T01,tool,fatigue_score,46.84431
E01-06,T01,tool,satisfaction,72.39573
E01-06,T01,tool,training_minutes,20.06271
E01-06,T01,tool,handoff_count,5
E01-06,T01,tool,rework_minutes,13.38058
E01-06,T01,tool,escalations,5
E01-06,T01,tool,confidence_score,64.03699
E01-06,T01,tool,workload_score,49.95496
E01-07,T01,tool,handling_minutes,39.43535
E01-07,T01,tool,error_rate,0.08908
E01-07,T01,tool,quality_score,84.27925
E01-07,T01,tool,weekly_output,38
E01-07,T01,tool,fatigue_score,56.66046
E01-07,T01,tool,satisfaction,71.7845
E01-07,T01,tool,training_minutes,32.53163
E01-07,T01,tool,handoff_count,7
E01-07,T01,tool,rework_minutes,6.13377
E01-07,T01,tool,escalations,6
E01-07,T01,tool,confidence_score,52.6564
E01-07,T01,tool,workload_score,45.84821
E01-08,T01,tool,handling_minutes,30.21599
E01-08,T01,tool,error_rate,0.10037
E01-08,T01,tool,quality_score,67.7354
E01-08,T01,tool,weekly_output,41
E01-08,T01,tool,fatigue_score,59.28656
E01-08,T01,tool,satisfaction,66.57988
E01-08,T01,tool,training_minutes,28.14003
E01-08,T01,tool,handoff_count,0
E01-08,T01,tool,rework_minutes,9.67622
E01-08,T01,tool,escalations,3
E01-08,T01,tool,confidence_score,54.29053
E01-08,T01,tool,workload_score,54.71299
E01-09,T01,tool,handling_minutes,56.15223
E01-09,T01,tool,error_rate,0.10259
E01-09,T01,tool,quality_score,88.1049
E01-09,T01,tool,weekly_output,28
E01-09,T01,tool,fatigue_score,47.70421
E01-09,T01,tool,satisfaction,61.67446
E01-09,T01,tool,training_minutes,13.78293
E01-09,T01,tool,handoff_count,2
E01-09,T01,tool,rework_minutes,9.356
E01-09,T01,tool,escalations,4
E01-09,T01,tool,confidence_score,58.11078
E01-09,T01,tool,workload_score,57.40237
E01-10,T01,tool,handling_minutes,46.53493
E01-10,T01,tool,error_rate,0.04438
E01-10,T01,tool,quality_score,76.09279
E01-10,T01,tool,weekly_output,24
E01-10,T01,tool,fatigue_score,74.09266
E01-10,T01,tool,satisfaction,80.44408
E01-10,T01,tool,training_minutes,25.34817
E01-10,T01,tool,handoff_count,5
E01-10,T01,tool,rework_minutes,11.35276
E01-10,T01,tool,escalations,3
E01-10,T01,tool,confidence_score,64.4918
E01-10,T01,tool,workload_score,56.52293
E01-11,T01,tool,handling_minutes,34.47431
E01-11,T01,tool,error_rate,0.10666
E01-11,T01,tool,quality_score,73.74976
E01-11,T01,tool,weekly_output,23
E01-11,T01,tool,fatigue_score,60.46909
E01-11,T01,tool,satisfaction,54.40974
E01-11,T01,tool,training_minutes,21.72865
E01-11,T01,tool,handoff_count,3
E01-11,T01,tool,rework_minutes,7.14479
E01-11,T01,tool,escalations,5
E01-11,T01,tool,confidence_score,63.48447
E01-11,T01,tool,workload_score,47.72143
E01-12,T01,tool,handling_minutes,37.59759
E01-12,T01,tool,error_rate,0.07358
E01-12,T01,tool,quality_score,74.20075
E01-12,T01,tool,weekly_output,36
E01-12,T01,tool,fatigue_score,55.03132
E01-12,T01,tool,satisfaction,86.00955
E01-12,T01,tool,training_minutes,16.50204
E01-12,T01,tool,handoff_count,5
E01-12,T01,tool,rework_minutes,10.91815
E01-12,T01,tool,escalations,4
E01-12,T01,tool,confidence_score,75.53807
E01-12,T01,tool,workload_score,57.48
E01-13,T01,tool,handling_minutes,42.32505
E01-13,T01,tool,error_rate,0.07526
E01-13,T01,tool,quality_score,84.19398
E01-13,T01,tool,weekly_output,37
E01-13,T01,tool,fatigue_score,49.56883
E01-13,T01,tool,satisfaction,58.9501
E01-13,T01,tool,training_minutes,19.78296
E01-13,T01,tool,handoff_count,3
E01-13,T01,tool,rework_minutes,7.64856
E01-13,T01,tool,escalations,5
E01-13,T01,tool,confidence_score,62.31466
E01-13,T01,tool,workload_score,59.7522
E01-14,T01,tool,handling_minutes,34.16529
E01-14,T01,tool,error_rate,0.06947
E01-14,T01,tool,quality_score,77.99655
E01-14,T01,tool,weekly_output,29
E01-14,T01,tool,fatigue_score,38.67661
E01-14,T01,tool,satisfaction,72.41415
E01-14,T01,tool,training_minutes,1.00386
E01-14,T01,tool,handoff_count,5
E01-14,T01,tool,rework_minutes,13.30296
E01-14,T01,tool,escalations,4
E01-14,T01,tool,confidence_score,74.95401
E01-14,T01,tool,workload_score,43.62714
E01-15,T01,tool,handling_minutes,51.67007
E01-15,T01,tool,error_rate,0.1093
E01-15,T01,tool,quality_score,73.87087
E01-15,T01,tool,weekly_output,28
E01-15,T01,tool,fatigue_score,65.31759
E01-15,T01,tool,satisfaction,61.92791
E01-15,T01,tool,training_minutes,7.38117
E01-15,T01,tool,handoff_count,5
E01-15,T01,tool,rework_minutes,14.66564
E01-15,T01,tool,escalations,6
E01-15,T01,tool,confidence_score,74.29255
E01-15,T01,tool,workload_score,57.24336
E01-16,T01,tool,handling_minutes,39.38271
E01-16,T01,tool,error_rate,0.08374
E01-16,T01,tool,quality_score,77.37957
E01-16,T01,tool,weekly_output,18
E01-16,T01,tool,fatigue_score,36.79555
E01-16,T01,tool,satisfaction,70.37518
E01-16,T01,tool,training_minutes,20.91429
E01-16,T01,tool,handoff_count,7
E01-16,T01,tool,rework_minutes,12.10225
E01-16,T01,tool,escalations,6
E01-16,T01,tool,confidence_score,68.5379
E01-16,T01,tool,workload_score,51.42927
E01-17,T01,tool,handling_minutes,48.83982
E01-17,T01,tool,error_rate,0.06239
E01-17,T01,tool,quality_score,80.03812
E01-17,T01,tool,weekly_output,42
E01-17,T01,tool,fatigue_score,51.04373
E01-17,T01,tool,satisfaction,67.06214
E01-17,T01,tool,training_minutes,24.0849
E01-17,T01,tool,handoff_count,5
E01-17,T01,tool,rework_minutes,5.51134
E01-17,T01,tool,escalations,5
E01-17,T01,tool,confidence_score,61.71534
E01-17,T01,tool,workload_score,40.29813
E01-18,T01,tool,handling_minutes,54.46579
E01-18,T01,tool,error_rate,0.03885
E01-18,T01,tool,quality_score,72.73353
E01-18,T01,tool,weekly_output,35
E01-18,T01,tool,fatigue_score,35.76129
E01-18,T01,tool,satisfaction,74.73832
E01-18,T01,tool,training_minutes,24.72751
E01-18,T01,tool,handoff_count,4
E01-18,T01,tool,rework_minutes,19.11346
E01-18,T01,tool,escalations,5
E01-18,T01,tool,confidence_score,63.47783
E01-18,T01,tool,workload_score,53.69283
E01-19,T01,tool,handling_minutes,49.79037
E01-19,T01,tool,error_rate,0.07334
E01-19,T01,tool,quality_score,84.87485
E01-19,T01,tool,weekly_output,30
E01-19,T01,tool,fatigue_score,49.31066
E01-19,T01,tool,satisfaction,71.5304
E01-19,T01,tool,training_minutes,23.27555
E01-19,T01,tool,handoff_count,5
E01-19,T01,tool,rework_minutes,14.22097
