person_id,assigned_arm,received_tool,followup_observed,followup_minutes,implementation_cost
E01-01,tool,1,1,55.121,8
E01-02,tool,1,1,42.619,8
E01-03,tool,1,1,52.767,8
E01-04,tool,0,1,55.723,8
E01-05,tool,1,1,42.868,8
E01-06,tool,1,1,40.127,8
E01-07,tool,1,0,,8
E01-08,tool,1,1,30.216,8
E01-09,tool,0,1,56.152,8
E01-10,tool,1,1,46.535,8
E01-11,tool,1,1,34.474,8
E01-12,tool,1,1,37.598,8
E01-13,tool,1,1,42.325,8
E01-14,tool,0,1,34.165,8
E01-15,tool,0,0,,8
E01-16,tool,1,1,39.383,8
E01-17,tool,1,1,48.84,8
E01-18,tool,1,1,54.466,8
E01-19,tool,1,1,49.79,8
E01-20,tool,1,1,36.549,8
E02-01,usual,0,1,56.377,0
E02-02,usual,0,1,75.592,0
E02-03,usual,0,1,78.151,0
E02-04,usual,0,1,56.415,0
E02-05,usual,0,1,52.557,0
E02-06,usual,0,1,60.331,0
E02-07,usual,0,1,56.793,0
E02-08,usual,0,1,55.209,0
E02-09,usual,0,0,,0
E02-10,usual,0,1,71.385,0
E02-11,usual,0,1,51.04,0
E02-12,usual,0,1,69.695,0
E02-13,usual,0,1,56.288,0
E02-14,usual,0,1,60.411,0
E02-15,usual,0,1,55.15,0
E02-16,usual,0,1,64.637,0
E02-17,usual,1,1,46.809,0
E02-18,usual,0,1,67.002,0
E02-19,usual,0,0,,0
E02-20,usual,0,0,,0
E03-01,tool,1,1,47.007,8
E03-02,tool,1,1,44.69,8
E03-03,tool,1,1,39.404,8
E03-04,tool,1,1,41.8,8
E03-05,tool,1,1,47.619,8
E03-06,tool,1,1,44.581,8
E03-07,tool,1,1,37.199,8
E03-08,tool,0,1,37.529,8
E03-09,tool,1,1,50.411,8
E03-10,tool,1,1,31.547,8
E03-11,tool,1,1,39.92,8
E03-12,tool,1,1,39.659,8
E03-13,tool,1,1,51.822,8
E03-14,tool,1,1,43.126,8
E03-15,tool,1,0,,8
E03-16,tool,1,1,37.852,8
E03-17,tool,1,1,48.798,8
E03-18,tool,1,1,46.709,8
E03-19,tool,1,1,42.972,8
E03-20,tool,1,1,42.04,8
E04-01,usual,0,1,52.566,0
E04-02,usual,0,1,59.654,0
E04-03,usual,0,1,64.481,0
E04-04,usual,0,1,49.722,0
E04-05,usual,0,1,67.887,0
E04-06,usual,0,1,45.727,0
E04-07,usual,0,1,51.358,0
E04-08,usual,0,1,47.588,0
E04-09,usual,0,1,55.998,0
E04-10,usual,0,0,,0
E04-11,usual,0,1,66.068,0
E04-12,usual,0,1,47.122,0
E04-13,usual,0,1,56.437,0
E04-14,usual,0,1,57.392,0
E04-15,usual,0,1,80.303,0
E04-16,usual,0,1,53.788,0
E04-17,usual,0,1,38.211,0
E04-18,usual,0,1,56.715,0
E04-19,usual,1,1,52.849,0
E04-20,usual,0,1,54.754,0
E05-01,tool,1,1,56.794,8
E05-02,tool,0,1,53.882,8
E05-03,tool,1,1,61.806,8
E05-04,tool,1,0,,8
E05-05,tool,1,1,47.946,8
E05-06,tool,1,0,,8
E05-07,tool,1,1,53.707,8
E05-08,tool,1,1,56.424,8
E05-09,tool,1,1,65.35,8
E05-10,tool,1,1,51.462,8
E05-11,tool,1,1,46.868,8
E05-12,tool,1,1,50.558,8
E05-13,tool,1,1,56.836,8
E05-14,tool,1,1,47.588,8
E05-15,tool,1,1,56.093,8
E05-16,tool,1,1,70.872,8
E05-17,tool,1,1,52.295,8
E05-18,tool,1,1,56.994,8
E05-19,tool,1,1,43.483,8
E05-20,tool,1,1,54.463,8
E06-01,usual,0,0,,0
E06-02,usual,0,1,39.371,0
E06-03,usual,0,1,39.385,0
E06-04,usual,0,1,34.546,0
E06-05,usual,0,1,36.886,0
E06-06,usual,0,1,50.137,0
E06-07,usual,0,1,42.275,0
E06-08,usual,0,1,49.066,0
E06-09,usual,0,1,52.29,0
E06-10,usual,0,1,51.405,0
E06-11,usual,0,1,48.666,0
E06-12,usual,0,1,56.886,0
E06-13,usual,0,1,53.079,0
E06-14,usual,0,1,58.69,0
E06-15,usual,0,0,,0
E06-16,usual,0,1,51.854,0
E06-17,usual,0,1,45.313,0
E06-18,usual,0,1,49.573,0
E06-19,usual,0,1,37.843,0
E06-20,usual,0,1,39.047,0
E07-01,tool,1,1,55.629,8
E07-02,tool,1,1,55.876,8
E07-03,tool,1,1,47.153,8
E07-04,tool,1,1,42.74,8
E07-05,tool,1,0,,8
E07-06,tool,1,1,62.977,8
E07-07,tool,1,1,48.391,8
E07-08,tool,1,1,61.58,8
E07-09,tool,1,1,56.187,8
E07-10,tool,1,1,51.15,8
E07-11,tool,0,1,57.245,8
E07-12,tool,1,1,44.615,8
E07-13,tool,0,1,47.828,8
E07-14,tool,0,1,61.425,8
E07-15,tool,1,1,51.527,8
E07-16,tool,0,1,44.692,8
E07-17,tool,1,1,49.097,8
E07-18,tool,0,1,59.489,8
E07-19,tool,1,1,51.854,8
E07-20,tool,1,1,34.169,8
E08-01,tool,1,1,72.35,8
E08-02,tool,1,1,59.894,8
E08-03,tool,1,1,51.147,8
E08-04,tool,0,1,66.206,8
E08-05,tool,1,1,66.536,8
E08-06,tool,1,1,61.198,8
E08-07,tool,1,1,60.769,8
E08-08,tool,1,1,58.962,8
E08-09,tool,1,1,63.85,8
E08-10,tool,1,1,70.69,8
E08-11,tool,1,1,60.496,8
E08-12,tool,1,1,49.064,8
E08-13,tool,1,1,45.921,8
E08-14,tool,0,0,,8
E08-15,tool,1,1,61.489,8
E08-16,tool,1,1,68.375,8
E08-17,tool,1,1,66.967,8
E08-18,tool,1,1,55.339,8
E08-19,tool,1,1,64.818,8
E08-20,tool,1,1,64.004,8
E09-01,usual,0,1,55.046,0
E09-02,usual,0,1,53.415,0
