person_id,team,block,baseline_minutes,workload
E01-01,T01,B1,63.422,1.011
E01-02,T01,B1,55.562,1.366
E01-03,T01,B1,62.362,0.704
E01-04,T01,B1,62.177,1.03
E01-05,T01,B1,54.632,1.104
E01-06,T01,B1,54.863,1.154
E01-07,T01,B1,51.593,1.459
E01-08,T01,B1,50.358,0.75
E01-09,T01,B1,59.433,1.275
E01-10,T01,B1,52.122,0.703
E01-11,T01,B1,44.77,0.996
E01-12,T01,B1,51.562,0.884
E01-13,T01,B1,55.048,0.8
E01-14,T01,B1,42.057,1.368
E01-15,T01,B1,60.071,0.719
E01-16,T01,B1,44.85,0.735
E01-17,T01,B1,56.889,0.999
E01-18,T01,B1,63.851,1.241
E01-19,T01,B1,51.631,1.203
E01-20,T01,B1,45.215,1.227
E02-01,T02,B1,58.108,0.685
E02-02,T02,B1,76.662,0.778
E02-03,T02,B1,78.248,0.935
E02-04,T02,B1,69.628,0.891
E02-05,T02,B1,55.727,1.258
E02-06,T02,B1,67.446,0.774
E02-07,T02,B1,72.261,1.13
E02-08,T02,B1,52.065,1.33
E02-09,T02,B1,62.446,1.202
E02-10,T02,B1,65.476,0.896
E02-11,T02,B1,56.854,1.172
E02-12,T02,B1,77.009,0.749
E02-13,T02,B1,60.483,1.373
E02-14,T02,B1,67.066,1.167
E02-15,T02,B1,64.026,1.188
E02-16,T02,B1,67.795,0.943
E02-17,T02,B1,60.786,0.785
E02-18,T02,B1,74.402,0.626
E02-19,T02,B1,60.842,1.274
E02-20,T02,B1,69.466,1.455
E03-01,T03,B1,56.433,1.176
E03-02,T03,B1,47.961,0.764
E03-03,T03,B1,50.351,1.076
E03-04,T03,B1,58.893,1.173
E03-05,T03,B1,58.649,1.117
E03-06,T03,B1,53.328,0.635
E03-07,T03,B1,47.514,0.664
E03-08,T03,B1,40.582,0.602
E03-09,T03,B1,56.881,1.172
E03-10,T03,B1,41.768,1.189
E03-11,T03,B1,51.65,0.661
E03-12,T03,B1,51.505,0.637
E03-13,T03,B1,55.106,1.483
E03-14,T03,B1,49.255,1.183
E03-15,T03,B1,59.212,1.263
E03-16,T03,B1,46.644,0.704
E03-17,T03,B1,56.898,1.08
E03-18,T03,B1,52.842,0.782
E03-19,T03,B1,48.821,0.846
E03-20,T03,B1,45.074,0.858
E04-01,T04,B1,49.58,1.301
E04-02,T04,B1,60.265,1.48
E04-03,T04,B1,51.024,1.046
E04-04,T04,B1,40.662,0.803
E04-05,T04,B1,62.133,1.456
E04-06,T04,B1,39.662,1.149
E04-07,T04,B1,50.403,1.069
E04-08,T04,B1,46.428,1.313
E04-09,T04,B1,46.154,1.19
E04-10,T04,B1,47.219,0.635
E04-11,T04,B1,58.717,1.34
E04-12,T04,B1,44.656,0.845
E04-13,T04,B1,53.659,1.125
E04-14,T04,B1,49.14,0.718
E04-15,T04,B1,62.551,0.871
E04-16,T04,B1,50.354,0.648
E04-17,T04,B1,39.679,0.832
E04-18,T04,B1,49.779,1.405
E04-19,T04,B1,52.366,1.41
E04-20,T04,B1,47.304,1.326
E05-01,T05,B1,52.082,0.744
E05-02,T05,B1,49.114,1.032
E05-03,T05,B1,58.61,1.208
E05-04,T05,B1,49.825,1.361
E05-05,T05,B1,49.877,1.08
E05-06,T05,B1,55.322,1.433
E05-07,T05,B1,57.455,0.638
E05-08,T05,B1,57.419,1.005
E05-09,T05,B1,60.8,0.749
E05-10,T05,B1,57.516,0.719
E05-11,T05,B1,51.425,0.971
E05-12,T05,B1,49.466,1.027
E05-13,T05,B1,56.815,1.151
E05-14,T05,B1,47.853,1.002
E05-15,T05,B1,59.286,0.915
E05-16,T05,B1,64.142,1.386
E05-17,T05,B1,57.807,1.113
E05-18,T05,B1,64.983,1.429
E05-19,T05,B1,48.779,1.442
E05-20,T05,B1,58.167,1.218
E06-01,T06,B1,63.311,1.364
E06-02,T06,B1,50.727,0.978
E06-03,T06,B1,52.048,1.439
E06-04,T06,B1,44.162,0.621
E06-05,T06,B1,50.01,1.066
E06-06,T06,B1,59.022,1.475
E06-07,T06,B1,47.753,0.834
E06-08,T06,B1,49.765,0.875
E06-09,T06,B1,56.525,1.075
E06-10,T06,B1,60.935,0.798
E06-11,T06,B1,50.483,0.972
E06-12,T06,B1,63.957,1.126
E06-13,T06,B1,51.586,0.667
E06-14,T06,B1,60.663,0.888
E06-15,T06,B1,53.34,1.207
E06-16,T06,B1,55.159,0.724
E06-17,T06,B1,47.339,1.488
E06-18,T06,B1,52.969,1.172
E06-19,T06,B1,47.287,0.919
E06-20,T06,B1,48.931,0.68
E07-01,T07,B2,61.326,0.701
E07-02,T07,B2,65.18,1.008
E07-03,T07,B2,57.432,1.454
E07-04,T07,B2,53.834,1.327
E07-05,T07,B2,52.833,1.081
E07-06,T07,B2,68.936,0.77
E07-07,T07,B2,64.858,0.929
E07-08,T07,B2,70.964,0.865
E07-09,T07,B2,68.111,1.348
E07-10,T07,B2,65.968,0.792
E07-11,T07,B2,59.728,1.203
E07-12,T07,B2,63.267,0.946
E07-13,T07,B2,54.816,0.779
E07-14,T07,B2,67.57,1.404
E07-15,T07,B2,65.291,0.742
E07-16,T07,B2,53.997,0.609
E07-17,T07,B2,63.969,0.801
E07-18,T07,B2,62.223,1.297
E07-19,T07,B2,57.8,1.256
E07-20,T07,B2,51.61,0.722
E08-01,T08,B2,77.747,0.867
E08-02,T08,B2,69.417,0.682
E08-03,T08,B2,60.669,1.043
E08-04,T08,B2,64.43,0.703
E08-05,T08,B2,76.254,1.002
E08-06,T08,B2,68.905,0.658
E08-07,T08,B2,66.083,0.867
E08-08,T08,B2,67.878,0.756
E08-09,T08,B2,73.111,1.293
E08-10,T08,B2,71.302,0.834
E08-11,T08,B2,66.208,1.373
E08-12,T08,B2,60.646,1.233
E08-13,T08,B2,58.376,1.485
E08-14,T08,B2,79.19,1.21
E08-15,T08,B2,65.068,0.956
E08-16,T08,B2,76.441,1.447
E08-17,T08,B2,75.092,1.384
E08-18,T08,B2,59.077,0.792
E08-19,T08,B2,76.455,1.136
E08-20,T08,B2,71.133,1.403
E09-01,T09,B2,55.88,1.274
E09-02,T09,B2,53.418,0.674
E09-03,T09,B2,66.796,0.923
E09-04,T09,B2,54.306,0.762
E09-05,T09,B2,59.109,0.96
E09-06,T09,B2,60.934,0.602
E09-07,T09,B2,55.997,0.994
E09-08,T09,B2,42.55,0.823
E09-09,T09,B2,65.453,1.228
E09-10,T09,B2,60.494,1.497
E09-11,T09,B2,48.96,1.427
E09-12,T09,B2,67.208,0.893
E09-13,T09,B2,49.441,0.92
E09-14,T09,B2,62.998,0.859
E09-15,T09,B2,61.678,0.835
E09-16,T09,B2,59.585,1.182
E09-17,T09,B2,53.658,0.934
E09-18,T09,B2,59.894,1.394
E09-19,T09,B2,46.663,1.488
E09-20,T09,B2,57.084,1.109
E10-01,T10,B2,54.266,1.028
E10-02,T10,B2,49.922,1.003
E10-03,T10,B2,65.712,0.916
E10-04,T10,B2,64.746,0.782
E10-05,T10,B2,62.683,0.817
E10-06,T10,B2,61.88,0.674
E10-07,T10,B2,50.277,1.084
E10-08,T10,B2,51.681,0.671
E10-09,T10,B2,56.612,0.613
E10-10,T10,B2,61.539,1.23
E10-11,T10,B2,56.712,1.014
E10-12,T10,B2,69.901,1.137
E10-13,T10,B2,58.199,1.234
E10-14,T10,B2,61.475,1.128
E10-15,T10,B2,58.502,0.836
E10-16,T10,B2,75.298,0.652
E10-17,T10,B2,46.151,0.636
E10-18,T10,B2,64.267,1.359
E10-19,T10,B2,63.953,1.259
E10-20,T10,B2,58.119,0.837
E11-01,T11,B2,67.055,1.454
E11-02,T11,B2,52.727,1.023
E11-03,T11,B2,69.687,0.872
E11-04,T11,B2,76.752,1.451
E11-05,T11,B2,71.053,1.437
E11-06,T11,B2,72.375,0.619
E11-07,T11,B2,63.093,1.171
E11-08,T11,B2,59.393,1.428
E11-09,T11,B2,68.337,1.269
E11-10,T11,B2,49.912,0.959
E11-11,T11,B2,68.029,0.709
E11-12,T11,B2,68.393,1.273
E11-13,T11,B2,68.517,0.896
E11-14,T11,B2,63.95,0.836
E11-15,T11,B2,67.426,1.277
E11-16,T11,B2,68.709,0.76
E11-17,T11,B2,62.654,1.036
E11-18,T11,B2,60.279,1.293
E11-19,T11,B2,53.224,1.106
E11-20,T11,B2,64.271,1.087
E12-01,T12,B2,68.157,1.029
E12-02,T12,B2,73.413,1.259
E12-03,T12,B2,68.349,1.091
E12-04,T12,B2,62.837,1.042
E12-05,T12,B2,61.481,1.329
E12-06,T12,B2,60.831,1.426
E12-07,T12,B2,58.214,0.935
E12-08,T12,B2,41.346,0.629
E12-09,T12,B2,63.485,1.27
E12-10,T12,B2,63.474,1.464
E12-11,T12,B2,47.821,0.795
E12-12,T12,B2,49.977,0.995
E12-13,T12,B2,70.797,0.982
