person_id,arm,minutes
I001,A,45.489
I002,B,45.782
I003,A,55.939
I004,B,57.468
I005,A,39.089
I006,B,29.773
I007,A,51.526
I008,B,23.097
I009,A,45.213
I010,B,46.504
I011,A,34.891
I012,B,37.518
I013,A,49.507
I014,B,48.729
I015,A,60.351
I016,B,46.974
I017,A,57.288
I018,B,46.274
I019,A,23.28
I020,B,56.377
I021,A,73.815
I022,B,46.428
I023,A,36.791
I024,B,46.522
I025,A,73.923
I026,B,20.989
I027,A,56.832
I028,B,41.766
I029,A,38.856
I030,B,42.758
I031,A,69.339
I032,B,23.967
I033,A,53.971
I034,B,59.084
I035,A,53.956
I036,B,31.309
I037,A,47.942
I038,B,35.534
I039,A,62.192
I040,B,67.364
I041,A,61.274
I042,B,49.458
I043,A,42.787
I044,B,63.663
I045,A,58.14
I046,B,26.73
I047,A,41.225
I048,B,34.415
I049,A,41.452
I050,B,38.976
I051,A,64.491
I052,B,44.864
I053,A,62.22
I054,B,59.723
I055,A,51.816
I056,B,59.163
I057,A,19.441
I058,B,34.781
I059,A,32.621
I060,B,40.327
I061,A,48.093
I062,B,17.576
I063,A,29.553
I064,B,51.983
I065,A,30.529
I066,B,48.367
I067,A,26.486
I068,B,77.865
I069,A,34.78
I070,B,50.76
I071,A,78.528
I072,B,43.818
I073,A,54.084
I074,B,36.599
I075,A,81.06
I076,B,43.983
I077,A,58.957
I078,B,30.14
I079,A,61.399
I080,B,36.656
I081,A,63.383
I082,B,42.085
I083,A,28.062
I084,B,28.025
I085,A,75.562
I086,B,22.578
I087,A,66.634
I088,B,47.878
I089,A,25.869
I090,B,73.045
I091,A,67.754
I092,B,41.44
I093,A,66.341
I094,B,43.875
I095,A,73.862
I096,B,44.316
I097,A,40.653
I098,B,52.997
I099,A,44.043
I100,B,37.341
