person_id,sequence,period,method,minutes
X001,AB,1,A,48.926
X001,AB,2,B,40.806
X002,BA,1,B,55.357
X002,BA,2,A,58.624
X003,AB,1,A,55.528
X003,AB,2,B,55.324
X004,BA,1,B,53.442
X004,BA,2,A,60.159
X005,AB,1,A,27.278
X005,AB,2,B,31.745
X006,BA,1,B,52.073
X006,BA,2,A,56.763
X007,AB,1,A,56.485
X007,AB,2,B,53.3
X008,BA,1,B,36.087
X008,BA,2,A,50.609
X009,AB,1,A,60.953
X009,AB,2,B,70.99
X010,BA,1,B,42.065
X010,BA,2,A,46.843
X011,AB,1,A,40.332
X011,AB,2,B,42.242
X012,BA,1,B,31.277
X012,BA,2,A,39.996
X013,AB,1,A,56.251
X013,AB,2,B,50.355
X014,BA,1,B,38.785
X014,BA,2,A,47.875
X015,AB,1,A,44.583
X015,AB,2,B,47.178
X016,BA,1,B,62.75
X016,BA,2,A,72.893
X017,AB,1,A,41.505
X017,AB,2,B,43.68
X018,BA,1,B,32.202
X018,BA,2,A,25.53
X019,AB,1,A,48.525
X019,AB,2,B,40.078
X020,BA,1,B,37.351
X020,BA,2,A,45.385
X021,AB,1,A,48.085
X021,AB,2,B,51.022
X022,BA,1,B,68.61
X022,BA,2,A,74.257
X023,AB,1,A,45.751
X023,AB,2,B,40.491
X024,BA,1,B,58.51
X024,BA,2,A,73.727
X025,AB,1,A,37.54
X025,AB,2,B,34.673
X026,BA,1,B,31.122
X026,BA,2,A,39.349
X027,AB,1,A,27.823
X027,AB,2,B,24.774
X028,BA,1,B,33.583
X028,BA,2,A,42.547
X029,AB,1,A,48.438
X029,AB,2,B,44.376
X030,BA,1,B,48.812
X030,BA,2,A,44.83
X031,AB,1,A,41.382
X031,AB,2,B,39.903
X032,BA,1,B,26.954
X032,BA,2,A,27.822
X033,AB,1,A,25.931
X033,AB,2,B,25.959
X034,BA,1,B,63.437
X034,BA,2,A,62.06
X035,AB,1,A,45.591
X035,AB,2,B,48.099
X036,BA,1,B,52.235
X036,BA,2,A,57.193
X037,AB,1,A,19.909
X037,AB,2,B,16.634
X038,BA,1,B,57.329
X038,BA,2,A,64.109
X039,AB,1,A,50.946
X039,AB,2,B,45.99
X040,BA,1,B,43.277
X040,BA,2,A,54.978
X041,AB,1,A,42.706
X041,AB,2,B,41.426
X042,BA,1,B,33.806
X042,BA,2,A,31.916
X043,AB,1,A,48.983
X043,AB,2,B,51.124
X044,BA,1,B,57.673
X044,BA,2,A,57.915
X045,AB,1,A,54.99
X045,AB,2,B,53.796
X046,BA,1,B,51.629
X046,BA,2,A,51.207
X047,AB,1,A,14.861
X047,AB,2,B,7.327
X048,BA,1,B,40.355
X048,BA,2,A,40.588
X049,AB,1,A,49.998
X049,AB,2,B,48.399
X050,BA,1,B,28.247
X050,BA,2,A,24.811
X051,AB,1,A,62.958
X051,AB,2,B,61.956
X052,BA,1,B,36.886
X052,BA,2,A,40.184
X053,AB,1,A,51.553
X053,AB,2,B,53.267
X054,BA,1,B,47.004
X054,BA,2,A,48.512
X055,AB,1,A,57.008
X055,AB,2,B,60.51
X056,BA,1,B,47.895
X056,BA,2,A,47.527
X057,AB,1,A,43.485
X057,AB,2,B,40.123
X058,BA,1,B,51.308
X058,BA,2,A,51.699
X059,AB,1,A,30.233
X059,AB,2,B,25.856
X060,BA,1,B,38.23
X060,BA,2,A,41.24
