person_id,arm,week,minutes
R001,usual,1,71.629
R001,usual,2,70.714
R001,usual,3,66.23
R001,usual,4,71.152
R001,usual,5,66.581
R001,usual,6,69.911
R002,tool,1,50.864
R002,tool,2,49.872
R002,tool,3,48.271
R002,tool,4,49.563
R002,tool,5,44.909
R002,tool,6,49.37
R003,usual,1,60.117
R003,usual,2,59.936
R003,usual,3,57.978
R003,usual,4,57.933
R003,usual,5,54.085
R003,usual,6,57.288
R004,tool,1,52.866
R004,tool,2,49.41
R004,tool,3,49.107
R004,tool,4,46.478
R004,tool,5,46.46
R004,tool,6,43.718
R005,usual,1,42.657
R005,usual,2,39.994
R005,usual,3,43.439
R005,usual,4,43.758
R005,usual,5,39.847
R005,usual,6,42.371
R006,tool,1,49.041
R006,tool,2,51.883
R006,tool,3,49.217
R006,tool,4,46.383
R006,tool,5,47.456
R006,tool,6,49.667
R007,usual,1,63.621
R007,usual,2,59.755
R007,usual,3,59.86
R007,usual,4,62.09
R007,usual,5,59.118
R007,usual,6,54.831
R008,tool,1,58.299
R008,tool,2,57.126
R008,tool,3,53.483
R008,tool,4,53.453
R008,tool,5,48.117
R008,tool,6,49.818
R009,usual,1,54.662
R009,usual,2,56.902
R009,usual,3,49.548
R009,usual,4,51.469
R009,usual,5,48.795
R009,usual,6,50.871
R010,tool,1,46.18
R010,tool,2,47.058
R010,tool,3,48.163
R010,tool,4,45.708
R010,tool,5,44.83
R010,tool,6,44.88
R011,usual,1,70.755
R011,usual,2,72.396
R011,usual,3,66.1
R011,usual,4,69.019
R011,usual,5,65.932
R011,usual,6,64.731
R012,tool,1,45.016
R012,tool,2,44.162
R012,tool,3,45.849
R012,tool,4,45.181
R012,tool,5,43.533
R012,tool,6,44.467
R013,usual,1,57.125
R013,usual,2,57.595
R013,usual,3,52.926
R013,usual,4,51.045
R013,usual,5,56.09
R013,usual,6,55.578
R014,tool,1,52.965
R014,tool,2,52.81
R014,tool,3,50.166
R014,tool,4,48.923
R014,tool,5,48.775
R014,tool,6,46.885
R015,usual,1,72.694
R015,usual,2,75.129
R015,usual,3,68.097
R015,usual,4,72.635
R015,usual,5,71.93
R015,usual,6,70.129
R016,tool,1,41.144
R016,tool,2,39.9
R016,tool,3,42.817
R016,tool,4,42.443
R016,tool,5,38.933
R016,tool,6,39.413
R017,usual,1,54.114
R017,usual,2,51.881
R017,usual,3,47.567
R017,usual,4,52.92
R017,usual,5,49.443
R017,usual,6,47.101
R018,tool,1,56.07
R018,tool,2,61.586
R018,tool,3,57.116
R018,tool,4,55.222
R018,tool,5,56.31
R018,tool,6,53.194
R019,usual,1,63.578
R019,usual,2,60.519
R019,usual,3,60.803
R019,usual,4,57.273
R019,usual,5,57.149
R019,usual,6,56.277
R020,tool,1,49.69
R020,tool,2,52.044
R020,tool,3,51.705
R020,tool,4,49.47
R020,tool,5,50.969
R020,tool,6,49.581
R021,usual,1,63.437
R021,usual,2,55.701
R021,usual,3,55.095
R021,usual,4,55.612
R021,usual,5,56.13
R021,usual,6,55.155
R022,tool,1,50.207
R022,tool,2,48.094
R022,tool,3,47.482
R022,tool,4,45.287
R022,tool,5,48.868
