sample_id,source_id,cost
S001,long_tail-4955,14.9133
S002,long_tail-5759,57.9109
S003,long_tail-5653,57.3862
S004,long_tail-5056,28.4769
S005,long_tail-0510,20.2225
S006,long_tail-3692,71.7785
S007,long_tail-1242,41.6549
S008,long_tail-2396,22.3764
S009,long_tail-5578,28.5533
S010,long_tail-4110,2.8563
S011,long_tail-2488,15.4608
S012,long_tail-3219,13.4367
S013,long_tail-2270,10.1299
S014,long_tail-2350,104.3566
S015,long_tail-5225,96.5676
S016,long_tail-4542,30.0155
S017,long_tail-4729,249.2203
S018,long_tail-5119,21.6867
S019,long_tail-0872,40.8588
S020,long_tail-0143,68.8613
S021,long_tail-4269,33.1109
S022,long_tail-0178,114.8123
S023,long_tail-0093,78.709
S024,long_tail-3218,60.2404
S025,long_tail-3930,7.837
S026,long_tail-4395,19.6879
S027,long_tail-3355,7.5576
S028,long_tail-2808,61.1091
S029,long_tail-4604,35.2705
S030,long_tail-4244,15.2435
S031,long_tail-0488,95.3283
S032,long_tail-3058,55.056
S033,long_tail-0516,24.0173
S034,long_tail-3350,43.3866
S035,long_tail-1028,15.2715
S036,long_tail-0880,95.0464
S037,long_tail-3851,21.6401
S038,long_tail-1844,78.059
S039,long_tail-1038,98.3861
S040,long_tail-5099,35.3101
S041,long_tail-1213,27.899
S042,long_tail-5530,63.5775
S043,long_tail-0965,35.5804
S044,long_tail-4546,63.0289
S045,long_tail-0223,251.0355
S046,long_tail-0826,19.9879
S047,long_tail-2937,12.9289
S048,long_tail-4211,21.7193
S049,long_tail-1027,30.5861
S050,long_tail-4268,47.3148
S051,long_tail-0845,50.2328
S052,long_tail-0415,16.0576
S053,long_tail-4842,17.6834
S054,long_tail-3807,18.394
S055,long_tail-5619,48.8982
S056,long_tail-3482,46.623
S057,long_tail-0657,17.1747
S058,long_tail-3987,41.5569
S059,long_tail-3130,203.1781
S060,long_tail-3879,8.2143
S061,long_tail-1061,14.5625
S062,long_tail-2452,19.6063
S063,long_tail-1899,506.8726
S064,long_tail-0888,42.8266
S065,long_tail-4934,82.6457
S066,long_tail-0567,86.6298
S067,long_tail-3924,10.8046
S068,long_tail-1219,46.5119
S069,long_tail-4773,15.6456
S070,long_tail-2833,8.8916
S071,long_tail-3138,69.9629
S072,long_tail-1002,3.9123
S073,long_tail-5552,50.7046
S074,long_tail-0759,35.3688
S075,long_tail-2443,11.5923
S076,long_tail-3622,11.5801
S077,long_tail-2126,147.9784
S078,long_tail-2671,28.8354
S079,long_tail-1471,13.6074
S080,long_tail-3795,40.7628
