day,weekday,event,rain,requests,split
1,0,0,1,205,history
2,1,0,0,195,history
3,2,0,0,150,history
4,3,0,0,180,history
5,4,1,1,228,history
6,5,1,1,226,history
7,6,0,0,115,history
8,0,0,0,181,history
9,1,0,1,167,history
10,2,0,0,142,history
11,3,0,0,199,history
12,4,0,0,128,history
13,5,0,0,136,history
14,6,0,0,147,history
15,0,0,0,156,history
16,1,0,0,158,history
17,2,0,0,150,history
18,3,0,0,156,history
19,4,0,0,159,history
20,5,0,0,140,history
21,6,0,0,113,history
22,0,0,1,190,history
23,1,0,1,185,history
24,2,0,0,144,history
25,3,0,0,189,history
26,4,0,1,171,history
27,5,0,1,135,history
28,6,1,0,196,history
29,0,1,0,190,history
30,1,0,0,154,history
31,2,0,0,164,history
32,3,0,0,128,history
33,4,0,0,164,history
34,5,0,1,145,history
35,6,0,1,128,history
36,0,0,0,191,history
37,1,0,0,147,history
38,2,0,0,195,history
39,3,0,0,146,history
40,4,0,0,153,history
41,5,0,1,154,history
42,6,0,0,116,history
43,0,0,0,142,history
44,1,0,0,170,history
45,2,0,0,144,history
46,3,0,0,146,history
47,4,0,0,167,history
48,5,0,0,129,history
49,6,0,1,132,history
50,0,0,0,162,history
51,1,1,0,236,history
52,2,1,0,220,history
53,3,0,1,150,history
54,4,0,0,166,history
55,5,0,0,134,history
56,6,0,0,92,history
57,0,0,1,180,history
58,1,0,0,166,history
59,2,0,0,166,history
60,3,0,1,151,history
61,4,0,0,164,history
62,5,0,0,111,history
63,6,0,0,152,history
64,0,0,0,163,history
65,1,0,0,173,history
66,2,0,0,152,history
67,3,0,0,160,history
68,4,0,0,142,history
69,5,0,0,140,history
70,6,0,1,117,history
71,0,0,0,337,history
72,1,0,1,181,history
73,2,0,0,178,history
74,3,1,0,192,history
75,4,1,1,194,history
76,5,0,0,128,history
77,6,0,0,91,history
78,0,0,1,171,history
79,1,0,0,154,history
80,2,0,0,134,history
81,3,0,1,165,history
82,4,0,1,173,history
83,5,0,0,146,history
84,6,0,0,136,history
85,0,0,0,188,history
86,1,0,0,171,history
87,2,0,0,156,history
88,3,0,0,153,history
89,4,0,0,159,history
90,5,0,1,106,history
91,6,0,0,236,history
92,0,0,0,181,history
93,1,0,0,161,history
94,2,0,0,178,history
95,3,0,0,157,history
96,4,0,0,185,history
97,5,1,0,171,history
98,6,1,0,179,history
99,0,0,0,147,history
100,1,0,0,174,history
101,2,0,0,149,history
102,3,0,0,156,history
103,4,0,0,151,history
104,5,0,0,93,history
105,6,0,0,85,history
106,0,0,0,159,history
107,1,0,1,147,history
108,2,0,1,176,history
109,3,0,0,127,history
110,4,0,0,150,history
111,5,0,0,131,history
112,6,0,0,77,history
113,0,0,0,176,history
114,1,0,0,155,history
115,2,0,0,140,history
116,3,0,0,192,history
117,4,0,0,193,history
118,5,0,0,146,history
119,6,0,0,137,history
120,0,1,1,233,history
121,1,1,0,239,history
122,2,0,0,151,history
123,3,0,1,162,history
124,4,0,0,171,history
125,5,0,0,165,history
126,6,0,0,172,history
127,0,0,0,147,holdout
128,1,0,0,163,holdout
129,2,0,0,131,holdout
130,3,0,0,124,holdout
131,4,0,1,203,holdout
132,5,0,0,141,holdout
133,6,0,0,123,holdout
134,0,0,0,160,holdout
135,1,0,1,141,holdout
136,2,0,0,166,holdout
137,3,0,0,128,holdout
138,4,0,0,163,holdout
139,5,0,0,120,holdout
140,6,0,0,122,holdout
141,0,0,0,151,holdout
142,1,0,0,165,holdout
143,2,1,1,210,holdout
144,3,1,1,211,holdout
145,4,0,0,176,holdout
146,5,0,0,149,holdout
147,6,0,1,139,holdout
148,0,0,0,196,holdout
149,1,0,1,142,holdout
150,2,0,0,156,holdout
151,3,0,0,144,holdout
152,4,0,0,146,holdout
153,5,0,0,135,holdout
154,6,0,1,131,holdout
155,0,0,1,171,holdout
156,1,0,0,133,holdout
157,2,0,0,155,holdout
158,3,0,0,129,holdout
159,4,0,0,149,holdout
160,5,0,0,131,holdout
161,6,0,0,106,holdout
162,0,0,0,162,holdout
163,1,0,1,186,holdout
164,2,0,0,173,holdout
165,3,0,0,127,holdout
166,4,1,0,305,holdout
167,5,1,1,179,holdout
168,6,0,0,117,holdout
