unit_id,scenario,cost
symmetric-0001,symmetric,57.786
symmetric-0002,symmetric,26.5947
symmetric-0003,symmetric,66.3384
symmetric-0004,symmetric,33.175
symmetric-0005,symmetric,20.7217
symmetric-0006,symmetric,45.6116
symmetric-0007,symmetric,39.5271
symmetric-0008,symmetric,59.1549
symmetric-0009,symmetric,52.7484
symmetric-0010,symmetric,45.5903
symmetric-0011,symmetric,49.8598
symmetric-0012,symmetric,25.2859
symmetric-0013,symmetric,50.6696
symmetric-0014,symmetric,42.6401
symmetric-0015,symmetric,40.7881
symmetric-0016,symmetric,50.9434
symmetric-0017,symmetric,28.8819
symmetric-0018,symmetric,46.8572
symmetric-0019,symmetric,42.3154
symmetric-0020,symmetric,32.7859
symmetric-0021,symmetric,29.888
symmetric-0022,symmetric,42.421
symmetric-0023,symmetric,52.0032
symmetric-0024,symmetric,40.835
symmetric-0025,symmetric,40.4585
symmetric-0026,symmetric,43.4058
symmetric-0027,symmetric,26.069
symmetric-0028,symmetric,38.5065
symmetric-0029,symmetric,66.2876
symmetric-0030,symmetric,34.8251
symmetric-0031,symmetric,26.3437
symmetric-0032,symmetric,27.697
symmetric-0033,symmetric,26.3524
symmetric-0034,symmetric,21.5523
symmetric-0035,symmetric,35.4685
symmetric-0036,symmetric,27.8046
symmetric-0037,symmetric,28.1227
symmetric-0038,symmetric,42.8986
symmetric-0039,symmetric,32.3972
symmetric-0040,symmetric,41.2689
symmetric-0041,symmetric,42.5185
symmetric-0042,symmetric,45.2389
symmetric-0043,symmetric,45.3029
symmetric-0044,symmetric,42.5518
symmetric-0045,symmetric,43.5428
symmetric-0046,symmetric,41.0233
symmetric-0047,symmetric,29.4093
symmetric-0048,symmetric,32.3415
symmetric-0049,symmetric,55.2853
symmetric-0050,symmetric,32.9186
symmetric-0051,symmetric,46.468
symmetric-0052,symmetric,41.3691
symmetric-0053,symmetric,47.6296
symmetric-0054,symmetric,25.6896
symmetric-0055,symmetric,61.5591
symmetric-0056,symmetric,33.5619
symmetric-0057,symmetric,47.5286
symmetric-0058,symmetric,41.3486
symmetric-0059,symmetric,25.1918
symmetric-0060,symmetric,61.8051
symmetric-0061,symmetric,36.2565
symmetric-0062,symmetric,36.9076
symmetric-0063,symmetric,44.9147
symmetric-0064,symmetric,33.578
symmetric-0065,symmetric,43.5021
symmetric-0066,symmetric,48.7124
symmetric-0067,symmetric,34.3454
symmetric-0068,symmetric,43.4403
symmetric-0069,symmetric,45.841
symmetric-0070,symmetric,36.724
symmetric-0071,symmetric,43.1856
symmetric-0072,symmetric,39.6344
symmetric-0073,symmetric,56.3731
symmetric-0074,symmetric,36.7093
symmetric-0075,symmetric,33.2713
symmetric-0076,symmetric,47.6565
symmetric-0077,symmetric,54.7951
symmetric-0078,symmetric,23.0945
symmetric-0079,symmetric,62.5816
symmetric-0080,symmetric,23.8463
symmetric-0081,symmetric,45.9803
symmetric-0082,symmetric,51.6728
symmetric-0083,symmetric,40.8699
symmetric-0084,symmetric,48.5809
symmetric-0085,symmetric,50.2272
symmetric-0086,symmetric,42.4613
symmetric-0087,symmetric,43.8752
symmetric-0088,symmetric,47.2314
symmetric-0089,symmetric,39.547
symmetric-0090,symmetric,41.5599
symmetric-0091,symmetric,43.9079
symmetric-0092,symmetric,35.7138
symmetric-0093,symmetric,41.0341
symmetric-0094,symmetric,26.0168
symmetric-0095,symmetric,50.7474
symmetric-0096,symmetric,32.4328
symmetric-0097,symmetric,46.6535
symmetric-0098,symmetric,47.3025
symmetric-0099,symmetric,26.9958
symmetric-0100,symmetric,20.3376
symmetric-0101,symmetric,41.5777
symmetric-0102,symmetric,50.9125
symmetric-0103,symmetric,31.1151
symmetric-0104,symmetric,41.5071
