person_id,campus,stage,stratum,baseline_score,responded
P1-0001,north,early,north_early,75.55,1
P1-0002,north,early,north_early,78.35,1
P1-0003,north,early,north_early,65.19,1
P1-0004,north,early,north_early,46.81,1
P1-0005,north,early,north_early,70.66,1
P1-0006,north,early,north_early,31.58,0
P1-0007,north,early,north_early,45.23,1
P1-0008,north,early,north_early,58.65,1
P1-0009,north,early,north_early,59.17,0
P1-0010,north,early,north_early,74.45,0
P1-0011,north,early,north_early,79.37,0
P1-0012,north,early,north_early,69.93,1
P1-0013,north,early,north_early,71.8,0
P1-0014,north,early,north_early,49.31,1
P1-0015,north,early,north_early,57.91,0
P1-0016,north,early,north_early,56.81,1
P1-0017,north,early,north_early,57.38,1
P1-0018,north,early,north_early,80.72,1
P1-0019,north,early,north_early,39.34,1
P1-0020,north,early,north_early,69.76,0
P1-0021,north,early,north_early,65.89,1
P1-0022,north,early,north_early,67.85,1
P1-0023,north,early,north_early,61.26,1
P1-0024,north,early,north_early,55.06,1
P1-0025,north,early,north_early,64.56,1
P1-0026,north,early,north_early,72.83,1
P1-0027,north,early,north_early,72.72,0
P1-0028,north,early,north_early,56.3,1
P1-0029,north,early,north_early,76.36,0
P1-0030,north,early,north_early,80.82,1
P1-0031,north,early,north_early,66.45,1
P1-0032,north,early,north_early,72.18,1
P1-0033,north,early,north_early,62.44,1
P1-0034,north,early,north_early,83.16,1
P1-0035,north,early,north_early,63.48,1
P1-0036,north,early,north_early,57.21,0
P1-0037,north,early,north_early,47.5,1
P1-0038,north,early,north_early,64.51,1
P1-0039,north,early,north_early,58.5,0
P1-0040,north,early,north_early,41.8,1
P1-0041,north,early,north_early,42.12,0
P1-0042,north,early,north_early,83.91,0
P1-0043,north,early,north_early,79.96,0
P1-0044,north,early,north_early,43.77,0
P1-0045,north,early,north_early,67.65,1
P1-0046,north,early,north_early,57.22,1
P1-0047,north,early,north_early,58.13,0
P1-0048,north,early,north_early,86.96,1
P1-0049,north,early,north_early,94.67,1
P1-0050,north,early,north_early,75.41,1
P1-0051,north,early,north_early,43.15,1
P1-0052,north,early,north_early,59.58,1
P1-0053,north,early,north_early,81.03,1
P1-0054,north,early,north_early,85.92,1
P1-0055,north,early,north_early,60.47,1
P1-0056,north,early,north_early,54.7,1
P1-0057,north,early,north_early,62.46,1
P1-0058,north,early,north_early,76.72,1
P1-0059,north,early,north_early,69.54,1
P1-0060,north,early,north_early,53.2,1
P1-0061,north,early,north_early,66.43,1
P1-0062,north,early,north_early,81.85,1
P1-0063,north,early,north_early,51.54,0
P1-0064,north,early,north_early,74.9,0
P1-0065,north,early,north_early,59.87,1
P1-0066,north,early,north_early,65.87,0
P1-0067,north,early,north_early,64.34,0
P1-0068,north,early,north_early,56.61,1
P1-0069,north,early,north_early,53.82,1
P1-0070,north,early,north_early,59.12,0
P1-0071,north,early,north_early,64.32,1
P1-0072,north,early,north_early,60.74,1
P1-0073,north,early,north_early,58.53,1
P1-0074,north,early,north_early,58.91,1
P1-0075,north,early,north_early,55.17,1
P1-0076,north,early,north_early,76.25,1
P1-0077,north,early,north_early,34.26,0
P1-0078,north,early,north_early,60.04,1
P1-0079,north,early,north_early,50.15,0
P1-0080,north,early,north_early,53.91,1
P1-0081,north,early,north_early,81.67,0
P1-0082,north,early,north_early,57.72,1
P1-0083,north,early,north_early,67.09,0
P1-0084,north,early,north_early,83.31,1
P1-0085,north,early,north_early,74.99,1
P1-0086,north,early,north_early,45.23,1
P1-0087,north,early,north_early,57.31,0
P1-0088,north,early,north_early,65.6,1
P1-0089,north,early,north_early,32.25,0
P1-0090,north,early,north_early,69.42,0
P1-0091,north,early,north_early,49.92,1
P1-0092,north,early,north_early,49.0,0
P1-0093,north,early,north_early,57.07,1
P1-0094,north,early,north_early,40.49,1
P1-0095,north,early,north_early,64.86,1
P1-0096,north,early,north_early,82.03,1
P1-0097,north,early,north_early,87.08,1
P1-0098,north,early,north_early,64.36,1
P1-0099,north,early,north_early,92.28,1
P1-0100,north,early,north_early,63.37,1
P1-0101,north,early,north_early,69.31,0
P1-0102,north,early,north_early,81.53,1
P1-0103,north,early,north_early,59.63,1
P1-0104,north,early,north_early,68.45,1
P1-0105,north,early,north_early,71.87,0
P1-0106,north,early,north_early,43.89,1
P1-0107,north,early,north_early,67.7,1
P1-0108,north,early,north_early,68.54,1
P1-0109,north,early,north_early,61.67,1
P1-0110,north,early,north_early,56.97,1
P1-0111,north,early,north_early,67.43,0
P1-0112,north,early,north_early,49.72,1
P1-0113,north,early,north_early,48.44,0
P1-0114,north,early,north_early,46.96,1
P1-0115,north,early,north_early,63.95,1
P1-0116,north,early,north_early,53.9,1
P1-0117,north,early,north_early,66.29,1
P1-0118,north,early,north_early,62.82,1
P1-0119,north,early,north_early,77.87,1
P1-0120,north,early,north_early,68.72,1
P1-0121,north,early,north_early,62.7,0
P1-0122,north,early,north_early,59.27,0
P1-0123,north,early,north_early,48.97,0
P1-0124,north,early,north_early,70.03,0
P1-0125,north,early,north_early,72.6,1
P1-0126,north,early,north_early,74.78,1
P1-0127,north,early,north_early,39.23,1
P1-0128,north,early,north_early,44.59,1
P1-0129,north,early,north_early,46.14,0
P1-0130,north,early,north_early,69.81,0
P1-0131,north,early,north_early,78.6,1
P1-0132,north,early,north_early,47.5,0
P1-0133,north,early,north_early,49.07,1
P1-0134,north,early,north_early,55.27,1
P1-0135,north,early,north_early,54.61,1
P1-0136,north,early,north_early,60.64,1
P1-0137,north,early,north_early,52.21,0
P1-0138,north,early,north_early,79.37,0
P1-0139,north,early,north_early,67.71,1
P1-0140,north,early,north_early,61.23,1
P1-0141,north,early,north_early,44.14,0
P1-0142,north,early,north_early,59.12,0
P1-0143,north,early,north_early,69.66,1
P1-0144,north,early,north_early,74.77,1
P1-0145,north,early,north_early,63.41,1
P1-0146,north,early,north_early,65.92,0
P1-0147,north,early,north_early,50.91,1
P1-0148,north,early,north_early,78.02,1
P1-0149,north,early,north_early,70.89,0
P1-0150,north,early,north_early,57.52,1
P1-0151,north,early,north_early,71.28,1
P1-0152,north,early,north_early,25.96,0
P1-0153,north,early,north_early,88.54,1
P1-0154,north,early,north_early,44.41,0
P1-0155,north,early,north_early,40.37,1
P1-0156,north,early,north_early,67.59,1
P1-0157,north,early,north_early,86.61,1
P1-0158,north,early,north_early,87.91,1
P1-0159,north,early,north_early,66.75,1
P1-0160,north,early,north_early,46.94,1
P1-0161,north,early,north_early,74.77,1
P1-0162,north,early,north_early,66.73,0
P1-0163,north,early,north_early,50.57,1
P1-0164,north,early,north_early,55.07,1
P1-0165,north,early,north_early,53.16,1
P1-0166,north,early,north_early,71.7,1
P1-0167,north,early,north_early,61.39,1
P1-0168,north,early,north_early,77.07,1
P1-0169,north,early,north_early,42.39,0
P1-0170,north,early,north_early,56.92,1
P1-0171,north,early,north_early,63.5,1
P1-0172,north,early,north_early,76.02,1
P1-0173,north,early,north_early,77.67,1
P1-0174,north,early,north_early,61.55,1
P1-0175,north,early,north_early,33.87,1
P1-0176,north,early,north_early,64.61,0
P1-0177,north,early,north_early,53.88,0
P1-0178,north,early,north_early,89.08,0
P1-0179,north,early,north_early,57.54,0
P1-0180,north,early,north_early,44.21,0
P1-0181,north,early,north_early,69.08,0
P1-0182,north,early,north_early,56.35,1
P1-0183,north,early,north_early,68.33,0
P1-0184,north,early,north_early,86.36,0
P1-0185,north,early,north_early,40.04,0
P1-0186,north,early,north_early,77.75,1
P1-0187,north,early,north_early,78.02,1
P1-0188,north,early,north_early,68.92,0
P1-0189,north,early,north_early,51.35,1
P1-0190,north,early,north_early,65.95,0
P1-0191,north,early,north_early,90.32,1
P1-0192,north,early,north_early,92.3,1
P1-0193,north,early,north_early,79.58,0
P1-0194,north,early,north_early,56.05,0
P1-0195,north,early,north_early,80.01,1
P1-0196,north,early,north_early,52.2,0
P1-0197,north,early,north_early,47.34,1
P1-0198,north,early,north_early,60.4,0
P1-0199,north,early,north_early,72.05,1
P1-0200,north,early,north_early,80.53,1
P1-0201,north,early,north_early,63.34,0
P1-0202,north,early,north_early,83.59,1
P1-0203,north,early,north_early,71.04,1
P1-0204,north,early,north_early,81.05,1
P1-0205,north,early,north_early,39.69,1
P1-0206,north,early,north_early,59.14,1
P1-0207,north,early,north_early,69.06,1
P1-0208,north,early,north_early,45.3,1
P1-0209,north,early,north_early,71.98,1
P1-0210,north,early,north_early,59.8,1
P1-0211,north,early,north_early,75.74,0
P1-0212,north,early,north_early,51.72,1
P1-0213,north,early,north_early,59.44,0
P1-0214,north,early,north_early,58.97,0
P1-0215,north,early,north_early,47.57,1
P1-0216,north,early,north_early,55.51,1
P1-0217,north,early,north_early,56.91,1
P1-0218,north,early,north_early,48.46,1
P1-0219,north,early,north_early,34.06,1
P1-0220,north,early,north_early,86.24,1
P1-0221,north,early,north_early,56.79,1
P1-0222,north,early,north_early,51.05,1
P1-0223,north,early,north_early,78.31,1
P1-0224,north,early,north_early,78.07,0
P1-0225,north,early,north_early,77.75,0
P1-0226,north,early,north_early,54.15,0
P1-0227,north,early,north_early,51.28,0
P1-0228,north,early,north_early,75.68,1
P1-0229,north,early,north_early,54.18,0
P1-0230,north,early,north_early,60.56,1
P1-0231,north,early,north_early,72.3,1
P1-0232,north,early,north_early,86.19,0
P1-0233,north,early,north_early,57.82,0
P1-0234,north,early,north_early,75.03,1
P1-0235,north,early,north_early,42.59,1
P1-0236,north,early,north_early,77.19,1
P1-0237,north,early,north_early,62.49,0
P1-0238,north,early,north_early,60.84,1
P1-0239,north,early,north_early,83.46,1
P1-0240,north,early,north_early,73.18,0
P1-0241,north,early,north_early,56.85,1
P1-0242,north,early,north_early,58.4,1
P1-0243,north,early,north_early,63.51,0
P1-0244,north,early,north_early,67.32,0
P1-0245,north,early,north_early,62.62,1
P1-0246,north,early,north_early,64.65,1
P1-0247,north,early,north_early,60.13,1
P1-0248,north,early,north_early,72.28,1
P1-0249,north,early,north_early,60.7,0
P1-0250,north,early,north_early,65.24,1
P1-0251,north,early,north_early,66.14,1
P1-0252,north,early,north_early,63.19,0
P1-0253,north,early,north_early,67.43,0
P1-0254,north,early,north_early,81.72,0
P1-0255,north,early,north_early,54.58,1
P1-0256,north,early,north_early,74.54,0
P1-0257,north,early,north_early,62.37,0
P1-0258,north,early,north_early,60.87,1
P1-0259,north,early,north_early,93.81,0
P1-0260,north,early,north_early,62.36,1
P1-0261,north,early,north_early,73.74,1
P1-0262,north,early,north_early,54.34,0
P1-0263,north,early,north_early,41.43,0
P1-0264,north,early,north_early,58.27,0
P1-0265,north,early,north_early,65.95,1
P1-0266,north,early,north_early,55.1,1
P1-0267,north,early,north_early,82.21,0
P1-0268,north,early,north_early,68.79,1
P1-0269,north,early,north_early,62.76,1
P1-0270,north,early,north_early,65.59,1
P1-0271,north,early,north_early,77.64,1
P1-0272,north,early,north_early,87.17,1
P1-0273,north,early,north_early,83.22,1
P1-0274,north,early,north_early,81.6,0
P1-0275,north,early,north_early,72.76,1
P1-0276,north,early,north_early,71.39,1
P1-0277,north,early,north_early,59.59,1
P1-0278,north,early,north_early,36.76,0
P1-0279,north,early,north_early,69.18,0
P1-0280,north,early,north_early,74.02,1
P1-0281,north,early,north_early,79.95,0
P1-0282,north,early,north_early,51.57,1
P1-0283,north,early,north_early,77.69,0
P1-0284,north,early,north_early,68.87,0
P1-0285,north,early,north_early,47.77,0
P1-0286,north,early,north_early,55.19,1
P1-0287,north,early,north_early,63.72,1
P1-0288,north,early,north_early,84.32,0
P1-0289,north,early,north_early,59.62,0
P1-0290,north,early,north_early,68.93,1
P1-0291,north,early,north_early,79.02,0
P1-0292,north,early,north_early,67.23,0
P1-0293,north,early,north_early,75.12,1
P1-0294,north,early,north_early,53.53,0
P1-0295,north,early,north_early,66.37,1
P1-0296,north,early,north_early,73.03,1
P1-0297,north,early,north_early,60.8,1
P1-0298,north,early,north_early,50.12,0
P1-0299,north,early,north_early,68.03,1
P1-0300,north,early,north_early,75.93,1
P1-0301,north,early,north_early,81.25,1
P1-0302,north,early,north_early,64.96,1
P1-0303,north,early,north_early,82.82,1
P1-0304,north,early,north_early,47.77,1
P1-0305,north,early,north_early,62.99,0
P1-0306,north,early,north_early,59.26,0
P1-0307,north,early,north_early,76.86,0
P1-0308,north,early,north_early,62.9,0
P1-0309,north,early,north_early,81.78,1
P1-0310,north,early,north_early,67.05,1
P1-0311,north,early,north_early,76.42,0
P1-0312,north,early,north_early,79.04,1
P1-0313,north,early,north_early,58.67,1
P1-0314,north,early,north_early,74.01,0
P1-0315,north,early,north_early,56.06,1
P1-0316,north,early,north_early,74.84,1
P1-0317,north,early,north_early,73.82,1
P1-0318,north,early,north_early,72.09,1
P1-0319,north,early,north_early,58.76,1
P1-0320,north,early,north_early,64.19,1
P1-0321,north,early,north_early,60.42,0
P1-0322,north,early,north_early,72.33,1
P1-0323,north,early,north_early,67.81,1
P1-0324,north,early,north_early,76.16,1
P1-0325,north,early,north_early,58.19,1
P1-0326,north,early,north_early,53.35,1
P1-0327,north,early,north_early,56.65,0
P1-0328,north,early,north_early,89.93,1
P1-0329,north,early,north_early,43.43,1
P1-0330,north,early,north_early,78.63,1
P1-0331,north,early,north_early,69.66,1
P1-0332,north,early,north_early,73.57,1
P1-0333,north,early,north_early,54.08,1
P1-0334,north,early,north_early,57.21,1
P1-0335,north,early,north_early,45.66,1
P1-0336,north,early,north_early,51.48,1
P1-0337,north,early,north_early,75.52,0
P1-0338,north,early,north_early,74.32,1
P1-0339,north,early,north_early,66.48,1
P1-0340,north,early,north_early,74.99,1
P1-0341,north,early,north_early,63.43,1
P1-0342,north,early,north_early,84.97,1
P1-0343,north,early,north_early,52.37,0
P1-0344,north,early,north_early,64.64,1
P1-0345,north,early,north_early,42.75,1
P1-0346,north,early,north_early,56.3,0
P1-0347,north,early,north_early,73.35,0
P1-0348,north,early,north_early,70.1,1
P1-0349,north,early,north_early,52.02,1
P1-0350,north,early,north_early,55.22,0
P1-0351,north,early,north_early,57.42,0
P1-0352,north,early,north_early,72.77,0
P1-0353,north,early,north_early,59.24,1
P1-0354,north,early,north_early,78.55,0
P1-0355,north,early,north_early,68.14,1
P1-0356,north,early,north_early,67.28,1
P1-0357,north,early,north_early,66.77,0
P1-0358,north,early,north_early,43.42,0
P1-0359,north,early,north_early,50.05,0
P1-0360,north,early,north_early,78.31,1
P1-0361,north,early,north_early,68.28,1
P1-0362,north,early,north_early,68.22,1
P1-0363,north,early,north_early,30.4,0
P1-0364,north,early,north_early,53.24,1
P1-0365,north,early,north_early,59.88,0
P1-0366,north,early,north_early,58.14,1
P1-0367,north,early,north_early,60.45,1
P1-0368,north,early,north_early,81.17,0
P1-0369,north,early,north_early,59.98,0
P1-0370,north,early,north_early,78.13,1
P1-0371,north,early,north_early,62.1,1
P1-0372,north,early,north_early,69.79,1
P1-0373,north,early,north_early,56.2,1
P1-0374,north,early,north_early,48.89,1
P1-0375,north,early,north_early,76.72,1
P1-0376,north,early,north_early,58.93,0
P1-0377,north,early,north_early,67.82,1
P1-0378,north,early,north_early,63.95,1
P1-0379,north,early,north_early,57.75,0
P1-0380,north,early,north_early,57.79,0
P1-0381,north,early,north_early,60.64,1
P1-0382,north,early,north_early,51.62,1
P1-0383,north,early,north_early,38.2,1
P1-0384,north,early,north_early,52.5,0
P1-0385,north,early,north_early,58.7,1
P1-0386,north,early,north_early,63.06,0
P1-0387,north,early,north_early,73.38,1
P1-0388,north,early,north_early,72.8,0
P1-0389,north,early,north_early,63.21,1
P1-0390,north,early,north_early,50.65,1
P1-0391,north,early,north_early,54.81,1
P1-0392,north,early,north_early,77.81,1
P1-0393,north,early,north_early,66.69,1
P1-0394,north,early,north_early,45.2,1
P1-0395,north,early,north_early,68.67,1
P1-0396,north,early,north_early,62.92,0
P1-0397,north,early,north_early,61.87,0
P1-0398,north,early,north_early,56.95,1
P1-0399,north,early,north_early,38.22,0
P1-0400,north,early,north_early,52.84,1
P1-0401,north,early,north_early,63.04,1
P1-0402,north,early,north_early,46.48,0
P1-0403,north,early,north_early,53.04,1
P1-0404,north,early,north_early,56.67,1
P1-0405,north,early,north_early,56.48,0
P1-0406,north,early,north_early,42.85,1
P1-0407,north,early,north_early,68.64,1
P1-0408,north,early,north_early,36.92,1
P1-0409,north,early,north_early,64.09,1
P1-0410,north,early,north_early,61.87,1
P1-0411,north,early,north_early,50.22,0
P1-0412,north,early,north_early,58.23,1
P1-0413,north,early,north_early,69.47,1
P1-0414,north,early,north_early,60.81,1
P1-0415,north,early,north_early,56.22,0
P1-0416,north,early,north_early,53.72,0
P1-0417,north,early,north_early,63.33,1
P1-0418,north,early,north_early,54.67,1
P1-0419,north,early,north_early,77.27,1
P1-0420,north,early,north_early,39.99,0
P1-0421,north,early,north_early,51.09,1
P1-0422,north,early,north_early,54.81,1
P1-0423,north,early,north_early,84.7,1
P1-0424,north,early,north_early,72.58,1
P1-0425,north,early,north_early,84.1,1
P1-0426,north,early,north_early,85.2,1
P1-0427,north,early,north_early,49.85,1
P1-0428,north,early,north_early,53.53,0
P1-0429,north,early,north_early,61.63,1
P1-0430,north,early,north_early,56.74,1
P1-0431,north,early,north_early,61.82,1
P1-0432,north,early,north_early,63.48,1
P1-0433,north,early,north_early,66.08,1
P1-0434,north,early,north_early,72.99,1
P1-0435,north,early,north_early,61.76,1
P1-0436,north,early,north_early,47.16,0
P1-0437,north,early,north_early,76.57,1
P1-0438,north,early,north_early,54.61,0
P1-0439,north,early,north_early,39.13,1
P1-0440,north,early,north_early,50.82,1
P1-0441,north,early,north_early,62.68,1
P1-0442,north,early,north_early,69.64,1
P1-0443,north,early,north_early,49.41,0
P1-0444,north,early,north_early,52.98,1
P1-0445,north,early,north_early,55.74,1
P1-0446,north,early,north_early,46.55,0
P1-0447,north,early,north_early,48.21,0
P1-0448,north,early,north_early,80.39,1
P1-0449,north,early,north_early,66.55,0
P1-0450,north,early,north_early,79.24,1
P1-0451,north,early,north_early,50.98,1
P1-0452,north,early,north_early,62.0,0
P1-0453,north,early,north_early,52.57,1
P1-0454,north,early,north_early,66.36,0
P1-0455,north,early,north_early,52.34,1
P1-0456,north,early,north_early,68.82,0
P1-0457,north,early,north_early,60.97,1
P1-0458,north,early,north_early,60.56,0
P1-0459,north,early,north_early,70.12,0
P1-0460,north,early,north_early,62.14,1
P1-0461,north,early,north_early,71.46,1
P1-0462,north,early,north_early,58.34,1
P1-0463,north,early,north_early,84.17,0
P1-0464,north,early,north_early,52.9,1
P1-0465,north,early,north_early,56.92,0
P1-0466,north,early,north_early,60.41,1
P1-0467,north,early,north_early,64.58,1
P1-0468,north,early,north_early,61.56,0
P1-0469,north,early,north_early,60.04,1
P1-0470,north,early,north_early,64.98,1
P1-0471,north,early,north_early,53.65,0
P1-0472,north,early,north_early,57.8,1
P1-0473,north,early,north_early,51.76,1
P1-0474,north,early,north_early,62.2,1
P1-0475,north,early,north_early,69.15,1
P1-0476,north,early,north_early,66.79,1
P1-0477,north,early,north_early,73.71,0
P1-0478,north,early,north_early,61.73,0
P1-0479,north,early,north_early,57.65,1
P1-0480,north,early,north_early,60.01,1
P1-0481,north,early,north_early,88.28,1
P1-0482,north,early,north_early,60.39,0
P1-0483,north,early,north_early,66.47,1
P1-0484,north,early,north_early,93.07,0
P1-0485,north,early,north_early,67.17,0
P1-0486,north,early,north_early,68.08,0
P1-0487,north,early,north_early,61.26,1
P1-0488,north,early,north_early,60.06,0
P1-0489,north,early,north_early,55.8,1
P1-0490,north,early,north_early,65.79,1
P1-0491,north,early,north_early,64.68,0
P1-0492,north,early,north_early,54.71,1
P1-0493,north,early,north_early,60.68,0
P1-0494,north,early,north_early,57.28,0
P1-0495,north,early,north_early,55.57,1
P1-0496,north,early,north_early,74.77,1
P1-0497,north,early,north_early,63.46,0
P1-0498,north,early,north_early,64.89,1
P1-0499,north,early,north_early,69.84,0
P1-0500,north,early,north_early,56.93,1
P2-0001,north,late,north_late,43.32,0
P2-0002,north,late,north_late,66.41,0
P2-0003,north,late,north_late,75.85,1
P2-0004,north,late,north_late,70.72,1
P2-0005,north,late,north_late,58.49,0
P2-0006,north,late,north_late,45.31,0
P2-0007,north,late,north_late,55.57,0
P2-0008,north,late,north_late,67.31,1
P2-0009,north,late,north_late,38.94,0
P2-0010,north,late,north_late,67.55,1
P2-0011,north,late,north_late,66.91,0
P2-0012,north,late,north_late,56.03,0
P2-0013,north,late,north_late,50.91,0
P2-0014,north,late,north_late,72.76,1
P2-0015,north,late,north_late,51.5,1
P2-0016,north,late,north_late,76.28,1
P2-0017,north,late,north_late,51.84,0
P2-0018,north,late,north_late,64.35,0
P2-0019,north,late,north_late,53.93,1
P2-0020,north,late,north_late,49.32,0
P2-0021,north,late,north_late,68.43,0
P2-0022,north,late,north_late,67.95,0
P2-0023,north,late,north_late,64.31,0
P2-0024,north,late,north_late,49.7,1
P2-0025,north,late,north_late,55.53,0
P2-0026,north,late,north_late,81.04,1
P2-0027,north,late,north_late,57.74,1
P2-0028,north,late,north_late,39.89,1
P2-0029,north,late,north_late,57.75,1
P2-0030,north,late,north_late,70.22,0
P2-0031,north,late,north_late,55.32,0
P2-0032,north,late,north_late,70.17,1
P2-0033,north,late,north_late,69.93,0
P2-0034,north,late,north_late,81.59,1
P2-0035,north,late,north_late,52.94,0
P2-0036,north,late,north_late,60.68,0
P2-0037,north,late,north_late,41.0,0
P2-0038,north,late,north_late,57.12,0
P2-0039,north,late,north_late,53.33,0
P2-0040,north,late,north_late,65.31,1
P2-0041,north,late,north_late,69.6,1
P2-0042,north,late,north_late,78.63,1
P2-0043,north,late,north_late,89.48,1
P2-0044,north,late,north_late,63.45,0
P2-0045,north,late,north_late,63.67,1
P2-0046,north,late,north_late,68.9,1
P2-0047,north,late,north_late,47.88,0
P2-0048,north,late,north_late,47.75,0
P2-0049,north,late,north_late,65.32,0
P2-0050,north,late,north_late,54.87,0
P2-0051,north,late,north_late,64.42,0
P2-0052,north,late,north_late,63.34,0
P2-0053,north,late,north_late,75.29,1
P2-0054,north,late,north_late,67.28,1
P2-0055,north,late,north_late,62.95,1
P2-0056,north,late,north_late,61.18,1
P2-0057,north,late,north_late,46.56,1
P2-0058,north,late,north_late,67.35,0
P2-0059,north,late,north_late,63.71,1
P2-0060,north,late,north_late,63.9,0
P2-0061,north,late,north_late,46.55,0
P2-0062,north,late,north_late,70.56,1
P2-0063,north,late,north_late,54.16,0
P2-0064,north,late,north_late,64.23,0
P2-0065,north,late,north_late,54.73,0
P2-0066,north,late,north_late,56.17,0
P2-0067,north,late,north_late,52.79,0
P2-0068,north,late,north_late,52.99,1
P2-0069,north,late,north_late,59.59,0
P2-0070,north,late,north_late,70.73,0
P2-0071,north,late,north_late,78.52,1
P2-0072,north,late,north_late,85.2,0
