person_id,satisfaction,weekly_use
P1-0001,92.49,4.2
P1-0002,92.98,4.4
P1-0003,64.38,1.9
P1-0004,53.77,4.3
P1-0005,77.8,4.6
P1-0007,41.17,0.2
P1-0008,56.49,3.6
P1-0012,79.11,7.9
P1-0014,51.2,5.4
P1-0016,49.65,5.1
P1-0017,60.23,5.8
P1-0018,90.04,5.4
P1-0019,67.06,4.7
P1-0021,51.25,2.6
P1-0022,58.79,2.4
P1-0023,42.5,5.8
P1-0024,52.12,4.7
P1-0025,78.44,2.9
P1-0026,83.37,4.8
P1-0028,60.38,5.5
P1-0030,84.0,2.7
P1-0031,72.87,4.4
P1-0032,74.16,2.9
P1-0033,59.02,5.5
P1-0034,86.8,3.7
P1-0035,68.65,0.2
P1-0037,40.35,5.2
P1-0038,35.7,3.5
P1-0040,57.62,4.0
P1-0045,52.44,2.3
P1-0046,59.72,6.3
P1-0048,92.29,1.7
P1-0049,85.02,2.9
P1-0050,64.66,7.8
P1-0051,45.85,4.0
P1-0052,53.22,3.7
P1-0053,73.06,3.3
P1-0054,82.35,4.2
P1-0055,66.9,4.9
P1-0056,42.89,4.7
P1-0057,64.79,5.9
P1-0058,72.88,0.7
P1-0059,74.91,6.2
P1-0060,58.98,3.2
P1-0061,69.1,5.8
P1-0062,84.04,3.8
P1-0065,74.87,1.9
P1-0068,50.34,0.9
P1-0069,40.88,4.2
P1-0071,71.42,1.3
P1-0072,60.86,1.2
P1-0073,64.71,4.4
P1-0074,64.1,5.7
P1-0075,65.3,3.5
P1-0076,74.44,6.8
P1-0078,68.19,6.0
P1-0080,45.41,5.5
P1-0082,57.39,7.4
P1-0084,63.71,2.5
P1-0085,69.99,2.5
P1-0086,51.25,1.2
P1-0088,69.12,2.3
P1-0091,64.62,1.9
P1-0093,62.31,4.9
P1-0094,30.31,3.2
P1-0095,53.4,3.2
P1-0096,88.33,3.7
P1-0097,70.77,3.5
P1-0098,75.23,4.6
P1-0099,85.63,4.1
P1-0100,70.1,1.0
P1-0102,100,3.7
P1-0103,55.7,4.0
P1-0104,74.21,6.0
P1-0106,52.55,2.4
P1-0107,64.71,7.6
P1-0108,53.68,4.0
P1-0109,65.41,4.6
P1-0110,60.0,3.3
P1-0112,56.82,2.9
P1-0114,40.77,3.3
P1-0115,29.67,1.9
P1-0116,62.73,6.2
P1-0117,78.58,5.4
P1-0118,77.63,4.5
P1-0119,84.61,1.4
P1-0120,79.51,3.8
P1-0125,70.78,4.8
P1-0126,77.94,1.2
P1-0127,22.81,4.8
P1-0128,42.28,5.1
P1-0131,79.53,3.9
P1-0133,65.39,3.0
P1-0134,47.31,7.0
P1-0135,47.21,4.9
P1-0136,46.33,6.4
P1-0139,63.42,4.6
P1-0140,76.85,3.2
P1-0143,63.79,1.5
P1-0144,80.34,3.2
P1-0145,58.82,3.0
P1-0147,57.91,4.5
P1-0148,70.2,7.0
P1-0150,64.29,3.9
P1-0151,76.28,5.0
P1-0153,86.05,3.9
P1-0155,38.21,3.7
P1-0156,61.85,5.0
P1-0157,73.02,3.7
P1-0158,79.35,1.3
P1-0159,64.13,2.5
P1-0160,61.74,3.8
P1-0161,82.23,5.0
P1-0163,52.75,6.5
P1-0164,47.54,3.2
P1-0165,60.45,1.2
P1-0166,73.33,6.2
P1-0167,64.47,7.5
P1-0168,80.84,0
P1-0170,57.16,6.9
P1-0171,65.2,7.0
P1-0172,67.72,6.4
P1-0173,91.49,2.6
P1-0174,66.83,2.3
P1-0175,24.03,3.5
P1-0182,43.42,1.0
P1-0186,83.5,7.6
P1-0187,100,6.1
P1-0189,58.37,1.6
P1-0191,100,4.9
P1-0192,87.55,3.4
P1-0195,68.21,6.8
P1-0197,47.91,4.1
P1-0199,80.04,2.6
P1-0200,79.48,6.2
P1-0202,100,4.5
P1-0203,75.31,4.1
P1-0204,86.67,5.7
P1-0205,42.8,3.8
P1-0206,53.54,7.0
P1-0207,83.54,6.1
P1-0208,45.2,4.2
P1-0209,66.52,4.3
P1-0210,50.84,3.9
P1-0212,37.44,5.3
P1-0215,43.34,7.4
P1-0216,61.03,3.9
P1-0217,55.78,3.7
P1-0218,45.03,2.6
P1-0219,32.83,4.0
P1-0220,93.83,3.9
P1-0221,54.41,5.0
P1-0222,74.93,5.0
P1-0223,87.14,6.4
P1-0228,92.94,3.2
P1-0230,41.02,3.2
P1-0231,57.22,3.1
P1-0234,81.78,1.2
P1-0235,35.0,2.3
P1-0236,80.55,0
P1-0238,58.27,4.1
P1-0239,72.32,3.9
P1-0241,61.18,2.6
P1-0242,57.95,4.7
P1-0245,62.21,0.8
P1-0246,50.51,4.3
P1-0247,53.84,3.6
P1-0248,75.82,4.6
P1-0250,79.68,6.4
P1-0251,79.07,6.8
P1-0255,62.8,5.1
P1-0258,55.2,0.3
P1-0260,64.43,7.3
P1-0261,78.27,5.1
P1-0265,64.75,2.4
P1-0266,53.51,4.8
P1-0268,72.48,6.5
P1-0269,58.14,2.6
P1-0270,80.83,2.3
P1-0271,76.12,4.2
P1-0272,72.87,1.3
P1-0273,89.32,3.3
P1-0275,81.08,3.8
P1-0276,62.22,3.9
P1-0277,77.25,3.7
P1-0280,65.49,3.7
P1-0282,52.05,3.5
P1-0286,42.9,1.5
P1-0287,47.36,3.2
P1-0290,60.7,3.9
P1-0293,74.97,4.7
P1-0295,68.39,2.4
P1-0296,75.02,3.2
P1-0297,67.45,4.5
P1-0299,72.68,3.2
P1-0300,64.55,6.4
P1-0301,72.76,3.2
P1-0302,75.55,2.9
P1-0303,94.65,0
P1-0304,58.37,7.3
P1-0309,84.24,4.7
P1-0310,77.55,1.4
P1-0312,83.03,5.2
P1-0313,43.1,5.6
P1-0315,47.9,8.8
P1-0316,85.66,3.9
P1-0317,73.57,3.9
P1-0318,53.17,4.7
P1-0319,62.91,1.2
P1-0320,69.91,2.2
P1-0322,66.66,4.2
P1-0323,72.28,2.7
P1-0324,81.49,0
P1-0325,53.37,2.9
P1-0326,75.63,1.8
P1-0328,100,3.2
P1-0329,48.65,1.0
P1-0330,95.32,6.4
P1-0331,75.61,4.4
P1-0332,78.46,3.6
P1-0333,57.98,6.7
