district,month,group,policy_active,outcome,population
D00,0,treated,0,48.62,1000
D00,1,treated,0,50.453,1000
D00,2,treated,0,52.442,1000
D00,3,treated,0,52.797,1000
D00,4,treated,0,52.925,1000
D00,5,treated,0,50.354,1000
D00,6,treated,0,49.796,1000
D00,7,treated,0,47.802,1000
D00,8,treated,0,49.019,1000
D00,9,treated,0,50.663,1000
D00,10,treated,0,49.398,1000
D00,11,treated,0,50.576,1000
D00,12,treated,0,54.053,1000
D00,13,treated,0,54.513,1000
D00,14,treated,0,55.124,1000
D00,15,treated,0,54.25,1000
D00,16,treated,0,55.806,1000
D00,17,treated,0,55.251,1000
D00,18,treated,1,49.76,1000
D00,19,treated,1,49.217,1000
D00,20,treated,1,48.062,1000
D00,21,treated,1,48.256,1000
D00,22,treated,1,47.471,1000
D00,23,treated,1,49.58,1000
D00,24,treated,1,50.49,1000
D00,25,treated,1,50.358,1000
D00,26,treated,1,53.146,1000
D00,27,treated,1,54.735,1000
D00,28,treated,1,54.016,1000
D00,29,treated,1,52.315,1000
D00,30,treated,1,49.926,1000
D00,31,treated,1,49.616,1000
D00,32,treated,1,49.937,1000
D00,33,treated,1,48.138,1000
D00,34,treated,1,48.957,1000
D00,35,treated,1,51.624,1000
D01,0,treated,0,50.47,1030
D01,1,treated,0,50.117,1030
D01,2,treated,0,53.939,1030
D01,3,treated,0,53.609,1030
D01,4,treated,0,53.003,1030
D01,5,treated,0,51.352,1030
D01,6,treated,0,51.509,1030
D01,7,treated,0,50.277,1030
D01,8,treated,0,49.025,1030
D01,9,treated,0,47.356,1030
D01,10,treated,0,47.606,1030
D01,11,treated,0,50.558,1030
D01,12,treated,0,54.466,1030
D01,13,treated,0,56.071,1030
D01,14,treated,0,56.974,1030
D01,15,treated,0,57.309,1030
D01,16,treated,0,55.666,1030
D01,17,treated,0,54.514,1030
D01,18,treated,1,47.8,1030
D01,19,treated,1,49.147,1030
D01,20,treated,1,48.494,1030
D01,21,treated,1,49.52,1030
D01,22,treated,1,49.01,1030
D01,23,treated,1,50.836,1030
D01,24,treated,1,51.134,1030
D01,25,treated,1,50.698,1030
D01,26,treated,1,52.786,1030
D01,27,treated,1,56.01,1030
D01,28,treated,1,53.497,1030
D01,29,treated,1,52.918,1030
D01,30,treated,1,51.225,1030
D01,31,treated,1,50.717,1030
D01,32,treated,1,51.542,1030
D01,33,treated,1,51.592,1030
D01,34,treated,1,51.254,1030
D01,35,treated,1,52.059,1030
D02,0,treated,0,53.238,1060
D02,1,treated,0,58.334,1060
D02,2,treated,0,58.567,1060
D02,3,treated,0,58.423,1060
D02,4,treated,0,56.242,1060
D02,5,treated,0,55.451,1060
D02,6,treated,0,54.38,1060
D02,7,treated,0,56.046,1060
D02,8,treated,0,55.495,1060
D02,9,treated,0,52.527,1060
D02,10,treated,0,54.63,1060
D02,11,treated,0,55.944,1060
D02,12,treated,0,57.139,1060
