person_id,severity,baseline_burden,access,age,support,followup_burden,contact_after,responded_after
P0000,5.35,66.26,1,20.3,1,83.15,2.32,0
P0001,4.44,55.23,1,59.9,1,58.6,2.57,1
P0002,2.25,54.78,1,35.8,0,66.85,3.31,0
P0003,4.54,52.7,1,63.8,1,59.29,2.92,1
P0004,8.74,68.23,0,45.1,1,73.37,2.29,0
P0005,5.53,63.33,1,53.1,1,67.73,3.19,1
P0006,8.26,62.44,1,59.3,1,80.36,2.94,0
P0007,3.32,52.84,1,20.3,0,66.45,1.8,0
P0008,3.45,51.04,1,24.8,0,71.3,1.77,0
P0009,3.67,53.7,1,64.7,1,55.66,2.25,0
P0010,2.74,50.31,1,52.3,0,62.83,1.96,1
P0011,1.54,28.13,1,50.8,0,31.27,1.93,1
P0012,6.42,57.12,0,51.2,1,60.66,2.05,1
P0013,7.1,58.67,1,41.3,1,70.67,3.17,0
P0014,9.38,59.58,0,31.4,1,55.77,2.33,1
P0015,5.75,46.93,1,38.4,1,65.49,3.14,1
P0016,2.2,59.72,0,46.2,0,67.3,1.31,1
P0017,9.67,64.69,1,36.2,1,75.89,3.35,0
P0018,7.48,60.04,0,21.1,0,79.81,2.11,1
P0019,4.46,64.26,0,49.0,1,65.55,2.76,1
P0020,0.94,56.85,1,64.4,0,54.4,2.11,1
P0021,7.25,76.94,1,32.2,1,83.65,3.03,0
P0022,4.31,56.48,1,20.2,1,52.5,3.23,0
P0023,4.86,53.19,0,25.3,1,62.36,2.3,1
P0024,6.1,71.74,0,26.7,1,86.33,3.68,1
P0025,5.02,57.31,0,60.0,0,57.8,1.77,0
P0026,4.71,60.37,0,37.4,0,66.95,2.18,1
P0027,7.34,57.67,1,35.6,1,55.54,2.7,1
P0028,1.74,57.85,1,50.5,0,70.61,2.64,0
P0029,5.54,41.74,1,58.4,1,45.7,2.74,1
P0030,0.4,48.36,0,24.6,0,57.31,2.37,1
P0031,5.58,56.61,0,25.5,0,76.58,1.37,0
P0032,6.23,54.42,0,60.9,1,60.73,3.2,1
P0033,5.84,60.19,1,55.5,1,78.82,2.6,0
P0034,7.64,56.58,1,57.9,1,72.34,1.95,0
P0035,0.53,37.52,1,21.0,0,43.11,2.04,1
P0036,0.16,47.12,1,29.4,0,44.52,2.64,1
P0037,9.91,71.22,1,62.9,1,90.23,3.22,0
P0038,2.98,49.74,0,65.5,0,51.38,0.45,0
P0039,2.24,48.2,0,36.1,0,49.01,2.22,0
P0040,9.31,84.02,0,35.6,1,91.05,3.03,0
P0041,1.25,56.8,1,25.7,0,51.8,2.37,1
P0042,8.8,73.64,1,47.2,1,86.29,3.07,0
P0043,6.35,55.32,0,57.1,1,72.37,2.95,0
P0044,1.56,47.38,1,36.3,0,45.98,1.19,1
P0045,0.77,45.23,0,64.9,0,53.1,1.86,0
P0046,8.92,68.15,0,50.7,1,87.42,2.76,0
P0047,8.64,65.24,0,52.1,1,87.27,3.1,0
P0048,2.24,49.26,1,29.5,0,54.93,2.91,1
P0049,2.39,41.4,0,43.9,0,51.5,2.46,1
P0050,6.48,56.29,1,34.3,1,60.84,3.11,1
P0051,2.8,31.76,0,27.4,0,39.02,2.49,1
P0052,2.66,24.35,1,64.9,0,27.38,2.43,1
P0053,4.85,49.11,0,39.2,1,57.97,2.58,1
P0054,8.05,70.9,1,53.6,1,93.58,3.0,0
P0055,2.73,41.35,1,63.3,0,48.85,1.96,1
P0056,2.1,37.99,1,56.5,1,45.13,2.72,1
P0057,2.12,40.44,1,36.4,0,54.58,2.47,1
P0058,3.69,53.13,1,47.9,1,62.7,3.22,0
P0059,6.48,63.85,1,64.7,1,75.13,3.18,0
P0060,3.89,46.74,1,59.8,0,62.25,2.25,0
P0061,8.45,55.68,0,31.4,1,74.85,2.85,1
