week,demand,holiday_known,available_capacity
0,190,1,230
1,212,1,230
2,179,0,230
3,184,0,230
4,190,0,230
5,186,0,230
6,200,0,230
7,207,0,230
8,204,0,230
9,203,0,230
10,208,0,230
11,199,0,230
12,205,0,230
13,212,0,230
14,200,0,230
15,210,0,230
16,218,0,230
17,219,0,230
18,200,0,230
19,196,0,230
20,189,0,230
21,190,0,230
22,188,0,230
23,195,0,230
24,192,0,230
25,182,0,230
26,175,0,230
27,178,0,230
28,187,0,230
29,176,0,230
30,176,0,230
31,165,0,230
32,157,0,230
33,160,0,230
34,153,0,230
35,158,0,230
36,146,0,230
37,156,0,230
38,156,0,230
39,154,0,230
40,135,0,230
41,139,0,230
42,166,0,230
43,157,0,230
44,149,0,230
45,155,0,230
46,166,0,230
47,175,0,230
48,195,0,230
49,197,0,230
50,215,1,230
51,221,1,230
52,205,1,230
53,226,1,230
54,232,0,230
55,228,0,230
56,217,0,230
57,228,0,230
58,230,0,230
59,233,0,230
60,246,0,230
61,259,0,230
62,249,0,230
63,241,0,230
64,238,0,230
65,240,0,230
66,241,0,230
67,243,0,230
68,251,0,230
69,241,0,230
70,233,0,230
71,226,0,230
72,235,0,230
73,226,0,230
74,224,0,230
75,226,0,230
76,208,0,230
77,227,0,230
78,231,0,230
79,214,0,230
80,210,0,230
81,202,0,230
82,194,0,230
83,180,0,230
84,178,0,230
85,180,0,230
86,175,0,230
87,171,0,230
88,187,0,230
89,195,0,230
90,193,0,230
91,204,0,230
92,201,0,230
93,183,0,230
94,192,0,230
95,192,0,230
96,202,0,230
97,201,0,230
98,202,0,230
99,205,0,230
100,197,0,230
101,216,0,230
102,238,1,230
103,261,1,230
104,241,1,230
105,240,1,230
106,223,0,230
107,249,0,230
108,236,0,230
109,245,0,230
110,253,0,230
111,255,0,230
112,259,0,230
113,269,0,230
114,264,0,230
115,263,0,230
116,263,0,230
117,271,0,230
118,273,0,230
119,277,0,230
120,256,0,230
121,248,0,230
122,250,0,230
123,245,0,230
124,234,0,230
125,250,0,230
126,243,0,230
127,240,0,230
128,232,0,230
129,238,0,230
130,269,0,245
131,261,0,245
132,260,0,245
133,266,0,245
134,239,0,245
135,241,0,245
136,235,0,245
137,242,0,245
138,236,0,245
139,252,0,245
140,253,0,245
141,254,0,245
142,256,0,245
143,245,0,245
144,242,0,245
145,251,0,245
146,242,0,245
147,239,0,245
148,243,0,245
149,239,0,245
150,228,0,245
151,240,0,245
152,242,0,245
153,251,0,245
154,266,1,245
155,280,1,245
