survey_id,ticket_id,invited,score,response_days
Q00001,T00001,1,4,1
Q00002,T00002,1,,
Q00003,T00003,1,,
Q00004,T00004,1,5,0
Q00005,T00005,1,5,4
Q00006,T00006,1,,
Q00007,T00007,1,,
Q00008,T00008,1,,
Q00009,T00009,1,5,4
Q00010,T00010,1,5,1
Q00011,T00011,1,,
Q00012,T00012,1,,
Q00013,T00013,1,4,3
Q00014,T00014,0,,
Q00015,T00015,1,5,0
Q00016,T00016,1,1,0
Q00017,T00017,1,,
Q00018,T00018,1,5,3
Q00019,T00019,1,5,4
Q00020,T00020,1,,
Q00021,T00021,1,,
Q00022,T00022,1,5,3
Q00023,T00023,1,,
Q00024,T00024,1,4,0
Q00025,T00025,1,5,3
Q00026,T00026,1,,
Q00027,T00027,1,,
Q00028,T00028,1,,
Q00029,T00029,1,5,1
Q00030,T00030,1,5,1
Q00031,T00031,1,,
Q00032,T00032,1,,
Q00033,T00033,1,4,3
Q00034,T00034,1,,
Q00035,T00035,1,5,2
Q00036,T00036,1,4,2
Q00037,T00037,1,5,4
Q00038,T00038,1,5,1
Q00039,T00039,1,4,0
Q00040,T00040,1,5,3
Q00041,T00041,1,3,1
Q00042,T00042,1,4,4
Q00043,T00043,1,,
Q00044,T00044,1,5,0
Q00045,T00045,1,,
Q00046,T00046,1,5,2
Q00047,T00047,1,,
Q00048,T00048,1,5,2
Q00049,T00049,0,,
Q00050,T00050,1,4,4
Q00051,T00051,1,5,1
Q00052,T00052,1,5,0
Q00053,T00053,1,4,0
Q00054,T00054,1,3,1
Q00055,T00055,1,,
Q00056,T00056,1,4,4
Q00057,T00057,1,1,2
Q00058,T00058,1,4,2
Q00059,T00059,1,4,3
Q00060,T00060,1,5,3
Q00061,T00061,1,5,1
Q00062,T00062,0,,
Q00063,T00063,1,5,2
Q00064,T00064,1,5,4
Q00065,T00065,1,,
Q00066,T00066,1,,
Q00067,T00067,1,,
Q00068,T00068,1,5,1
Q00069,T00069,1,5,2
Q00070,T00070,1,4,2
Q00071,T00071,1,,
Q00072,T00072,1,5,3
Q00073,T00073,1,3,1
Q00074,T00074,1,5,4
Q00075,T00075,0,,
Q00076,T00076,1,,
Q00077,T00077,1,4,2
Q00078,T00078,1,5,0
Q00079,T00079,1,5,0
Q00080,T00080,1,4,0
