date,window_id,staff_count,open_hours,absence_hours
2026-03-02,A1,2,6,1
2026-03-02,A2,1,6,0
2026-03-02,B1,2,6,0
2026-03-02,B2,1,6,0
2026-03-02,C1,2,6,0
2026-03-02,C2,1,6,0
2026-03-03,A1,2,7,1
2026-03-03,A2,1,7,0
2026-03-03,B1,2,7,0
2026-03-03,B2,1,7,0
2026-03-03,C1,2,7,0
2026-03-03,C2,1,7,0
2026-03-04,A1,2,7,0
2026-03-04,A2,1,7,0
2026-03-04,B1,2,7,1
2026-03-04,B2,1,7,0
2026-03-04,C1,2,7,0
2026-03-04,C2,1,7,0
2026-03-05,A1,2,7,0
2026-03-05,A2,1,7,0
2026-03-05,B1,2,7,0
2026-03-05,B2,1,7,0
2026-03-05,C1,2,7,0
2026-03-05,C2,1,7,0
2026-03-06,A1,2,7,0
2026-03-06,A2,1,7,0
2026-03-06,B1,2,7,0
2026-03-06,B2,1,7,0
2026-03-06,C1,2,7,0
2026-03-06,C2,1,7,0
2026-03-09,A1,2,7,0
2026-03-09,A2,1,7,0
2026-03-09,B1,2,7,0
2026-03-09,B2,1,7,0
2026-03-09,C1,2,7,0
2026-03-09,C2,1,7,0
2026-03-10,A1,2,7,0
2026-03-10,A2,1,7,0
2026-03-10,B1,2,7,1
2026-03-10,B2,1,7,1
2026-03-10,C1,2,7,0
2026-03-10,C2,1,7,0
2026-03-11,A1,2,7,0
2026-03-11,A2,1,7,0
2026-03-11,B1,2,7,0
2026-03-11,B2,1,7,0
2026-03-11,C1,2,7,0
2026-03-11,C2,1,7,0
2026-03-12,A1,2,7,0
2026-03-12,A2,1,7,0
2026-03-12,B1,2,7,1
2026-03-12,B2,1,7,0
2026-03-12,C1,2,7,0
2026-03-12,C2,1,7,0
2026-03-13,A1,2,7,0
2026-03-13,A2,1,7,0
2026-03-13,B1,2,7,0
2026-03-13,B2,1,7,0
2026-03-13,C1,2,7,0
2026-03-13,C2,1,7,0
2026-03-16,A1,2,6,0
2026-03-16,A2,1,6,0
2026-03-16,B1,2,6,1
2026-03-16,B2,1,6,0
2026-03-16,C1,2,6,0
2026-03-16,C2,1,6,0
2026-03-17,A1,2,7,0
2026-03-17,A2,1,7,0
2026-03-17,B1,2,7,0
2026-03-17,B2,1,7,0
2026-03-17,C1,2,7,0
2026-03-17,C2,1,7,0
2026-03-18,A1,2,7,0
2026-03-18,A2,1,7,0
2026-03-18,B1,2,7,0
2026-03-18,B2,1,7,0
2026-03-18,C1,2,7,0
2026-03-18,C2,1,7,0
2026-03-19,A1,2,7,1
2026-03-19,A2,1,7,0
2026-03-19,B1,2,7,0
2026-03-19,B2,1,7,0
2026-03-19,C1,2,7,0
2026-03-19,C2,1,7,0
2026-03-20,A1,2,7,0
2026-03-20,A2,1,7,0
2026-03-20,B1,2,7,0
2026-03-20,B2,1,7,0
2026-03-20,C1,2,7,1
2026-03-20,C2,1,7,0
2026-03-23,A1,2,7,0
2026-03-23,A2,1,7,0
2026-03-23,B1,2,7,0
2026-03-23,B2,1,7,0
2026-03-23,C1,2,7,0
2026-03-23,C2,1,7,0
2026-03-24,A1,2,7,0
2026-03-24,A2,1,7,0
2026-03-24,B1,2,7,0
2026-03-24,B2,1,7,0
2026-03-24,C1,2,7,0
2026-03-24,C2,1,7,0
2026-03-25,A1,2,7,0
2026-03-25,A2,1,7,0
2026-03-25,B1,2,7,0
2026-03-25,B2,1,7,0
2026-03-25,C1,2,7,0
2026-03-25,C2,1,7,0
2026-03-26,A1,2,7,0
