ticket_id,person_id,date,arrival_period,window_id,business_code,appointment,wait_minutes,service_minutes,abandoned,completed_same_day
T00001,P0859,2026-03-02,上午,A1,case,0,12.14,9.93,0,1
T00002,P0709,2026-03-02,上午,A2,case,0,71.47,24.96,0,0
T00003,P2104,2026-03-02,下午,A1,case,0,11.27,4.5,0,1
T00004,P2105,2026-03-02,下午,A2,basic,0,2.79,6.19,0,1
T00005,P1652,2026-03-02,下午,A1,case,1,9.82,29.49,0,1
T00006,P0153,2026-03-02,上午,A2,case,0,86.21,18.28,0,1
T00007,P0473,2026-03-02,上午,A1,case,1,6.47,31.8,0,1
T00008,P0087,2026-03-02,上午,A2,case,0,26.94,,1,0
T00009,P2254,2026-03-02,下午,A1,basic,1,2.32,6.23,0,1
T00010,P2585,2026-03-02,下午,A2,case,0,24.78,22.85,0,1
T00011,P2397,2026-03-02,上午,A1,case,0,15.32,13.78,0,1
T00012,P0146,2026-03-02,上午,A2,case,0,31.42,8.95,0,0
T00013,P2210,2026-03-02,下午,A1,case,0,15.61,23.37,0,1
T00014,P0848,2026-03-02,下午,A2,basic,1,49.35,,1,0
T00015,P2591,2026-03-02,下午,A1,case,0,8.45,17.84,0,1
T00016,P0159,2026-03-02,下午,A2,case,0,60.08,25.96,0,0
T00017,P1733,2026-03-02,下午,A1,case,0,14.35,28.39,0,0
T00018,P0326,2026-03-02,上午,A2,case,0,13.9,10.67,0,0
T00019,P2443,2026-03-02,下午,A1,basic,0,4.58,1.88,0,1
T00020,P0589,2026-03-02,上午,A2,case,0,75.79,15.94,0,1
T00021,P1123,2026-03-02,上午,A1,case,0,14.27,19.74,0,1
T00022,P1079,2026-03-02,下午,A2,basic,1,3.97,6.19,0,1
T00023,P0266,2026-03-02,下午,A1,case,0,15.57,33.36,0,1
T00024,P2353,2026-03-02,上午,A2,case,0,22.0,28.91,0,1
T00025,P2479,2026-03-02,上午,A1,case,0,21.86,23.8,0,1
T00026,P1377,2026-03-02,上午,A2,case,0,58.18,16.42,0,1
T00027,P1425,2026-03-02,上午,A1,case,0,19.5,10.64,0,1
T00028,P2318,2026-03-02,上午,A2,case,0,11.53,13.95,0,0
T00029,P1481,2026-03-02,上午,A1,case,0,26.35,,1,0
T00030,P0847,2026-03-02,上午,A2,case,0,10.53,6.95,0,0
T00031,P0595,2026-03-02,上午,A1,case,0,4.95,9.92,0,1
T00032,P1636,2026-03-02,下午,A2,case,0,9.23,9.89,0,1
T00033,P0658,2026-03-02,下午,A1,case,0,18.4,27.24,0,1
T00034,P1580,2026-03-02,上午,A2,case,1,14.72,7.29,0,1
T00035,P1724,2026-03-02,下午,A1,basic,1,2.43,11.68,0,1
T00036,P1357,2026-03-02,下午,A2,basic,0,5.66,16.4,0,1
T00037,P1656,2026-03-02,上午,A1,basic,0,5.26,3.19,0,1
T00038,P1979,2026-03-02,上午,A2,case,0,6.21,14.77,0,1
T00039,P2187,2026-03-02,上午,A1,case,0,20.5,20.91,0,0
T00040,P1937,2026-03-02,上午,A2,case,0,9.79,20.5,0,0
T00041,P2240,2026-03-02,下午,B1,case,0,23.28,19.46,0,1
T00042,P0180,2026-03-02,上午,B2,basic,1,7.06,4.96,0,1
T00043,P0925,2026-03-02,上午,B1,basic,1,6.83,3.85,0,1
T00044,P0286,2026-03-02,下午,B2,basic,1,4.35,2.92,0,1
T00045,P0093,2026-03-02,下午,B1,basic,0,8.82,3.15,0,1
T00046,P0748,2026-03-02,下午,B2,basic,1,3.22,11.64,0,1
T00047,P2575,2026-03-02,下午,B1,basic,1,2.58,9.36,0,1
T00048,P0530,2026-03-02,上午,B2,basic,0,5.65,14.77,0,0
T00049,P2000,2026-03-02,下午,B1,basic,1,2.6,2.41,0,1
T00050,P2350,2026-03-02,下午,B2,basic,1,4.82,5.17,0,1
T00051,P0291,2026-03-02,上午,B1,basic,0,10.32,3.39,0,1
T00052,P1352,2026-03-02,上午,B2,basic,1,7.7,4.02,0,1
