ticket_id,person_id,date,arrival_period,window_id,business_code,appointment,wait_minutes,service_minutes,abandoned,completed_same_day,wait_unit,export_revision
T03601,P2695,2026-04-13,下午,A1,case,0,648.0,17.67,0,1,second,1
T03601,P2695,2026-04-13,下午,A1,case,0,648.0,17.67,0,1,second,1
T03602,P2583,2026-04-13,上午,A2,case,1,18.97,16.83,0,1,minute,1
T03603,P2518,2026-04-13,下午,UNKNOWN,case,0,9.15,2.52,0,0,minute,1
T03604,P0608,2026-04-13,下午,A2,basic,0,5.41,6.53,0,1,minute,1
T03604,P0608,2026-04-13,下午,A2,basic,0,4.87,6.53,0,1,minute,2
T03605,P0670,2026-04-13,上午,A1,case,0,16.34,11.92,0,,minute,1
T03606,P0509,2026-04-13,下午,A2,case,1,999,33.15,0,1,minute,1
T03607,P0804,2026-04-13,上午,A1,case,1,33.68,22.32,0,1,minute,1
T03608,P1364,2026-04-13,上午,A2,,1,12.47,19.56,0,0,minute,1
T03609,P2634,2026-04-13,下午,A1,case,1,-1,41.06,0,0,minute,1
T03610,P0432,2026-04-13,下午,A2,case,0,16.14,33.61,0,1,minute,1
T03611,P0436,2026-04-13,上午,A1,case,0,49.82,10.7,0,1,minute,1
T03612,P0592,2026-04-13,上午,A2,case,1,35.02,,1,0,minute,1
T03613,P1480,2026-04-13,上午,A1,case,0,31.42,13.59,0,1,minute,1
T03614,P0521,2026-04-13,上午,A2,case,0,31.63,,1,0,minute,1
T03615,P0731,2026-04-13,下午,A1,case,0,36.53,15.67,0,1,minute,1
T03616,P0053,2026-04-13,上午,A2,case,0,24.17,12.64,0,0,minute,1
T03617,P1606,2026-04-13,上午,A1,case,0,16.29,16.88,0,1,minute,1
T03618,P1776,2026-04-13,下午,A2,case,0,8.0,19.69,0,0,minute,1
T03619,P2598,2026-04-13,上午,A1,case,0,20.43,16.04,0,1,minute,1
T03620,P1703,2026-04-13,下午,A2,case,1,3.76,31.29,0,1,minute,1
T03621,P1166,2026-04-13,上午,A1,case,0,21.16,5.29,0,1,minute,1
T03622,P2395,2026-04-13,下午,A2,case,0,46.39,24.83,0,0,minute,1
T03623,P2200,2026-04-13,上午,A1,basic,1,5.79,2.19,0,1,minute,1
T03624,P2343,2026-04-13,下午,A2,case,0,14.98,11.41,0,0,minute,1
T03625,P0926,2026-04-13,下午,A1,case,1,7.57,11.89,0,1,minute,1
T03626,P0446,2026-04-13,上午,A2,case,0,33.21,5.77,0,1,minute,1
T03627,P0652,2026-04-13,上午,A1,case,0,11.76,24.34,0,1,minute,1
T03628,P1307,2026-04-13,下午,A2,case,0,13.28,31.35,0,1,minute,1
T03629,P2355,2026-04-13,上午,A1,basic,0,79.79,3.97,0,1,minute,1
T03630,P2146,2026-04-13,上午,A2,case,1,1314.0,15.66,0,1,second,1
T03631,P1549,2026-04-13,下午,A1,case,0,13.79,13.3,0,1,minute,1
T03632,P1963,2026-04-13,上午,A2,case,1,7.96,7.99,0,1,minute,1
T03632,P1963,2026-04-13,上午,A2,case,1,7.96,7.99,0,1,minute,1
T03633,P1666,2026-04-13,下午,A1,case,1,17.16,12.07,0,1,minute,1
T03634,P0579,2026-04-13,上午,A2,case,0,23.44,5.14,0,1,minute,1
T03635,P1093,2026-04-13,上午,A1,case,0,8.21,9.25,0,1,minute,1
T03636,P1009,2026-04-13,上午,A2,case,0,32.56,5.22,0,1,minute,1
T03637,P1208,2026-04-13,上午,A1,basic,1,7.36,3.41,0,1,minute,1
T03638,P1943,2026-04-13,下午,A2,case,0,5.15,30.54,0,1,minute,1
T03639,P2325,2026-04-13,上午,A1,case,1,9.47,17.8,0,0,minute,1
T03640,P0453,2026-04-13,上午,A2,case,1,8.84,16.79,0,1,minute,1
T03641,P1870,2026-04-13,下午,B1,basic,0,12.89,4.68,0,1,minute,1
T03642,P2609,2026-04-13,上午,B2,basic,1,13.26,6.59,0,1,minute,1
T03643,P0080,2026-04-13,下午,B1,basic,0,7.85,4.6,0,1,minute,1
T03644,P1089,2026-04-13,下午,B2,case,0,25.01,15.6,0,1,minute,1
T03645,P0836,2026-04-13,上午,B1,basic,1,5.36,3.49,0,0,minute,1
T03646,P2518,2026-04-13,下午,B2,basic,0,3.35,7.14,0,1,minute,1
T03647,P1563,2026-04-13,下午,B1,basic,0,8.69,4.03,0,1,minute,1
T03648,P2283,2026-04-13,下午,B2,case,0,24.8,20.78,0,0,minute,1
T03649,P1946,2026-04-13,下午,B1,case,0,15.26,13.83,0,1,minute,1
T03650,P1746,2026-04-13,下午,B2,basic,0,18.13,15.35,0,1,minute,1
T03651,P1341,2026-04-13,上午,B1,basic,1,11.32,7.19,0,1,minute,1
T03651,P1341,2026-04-13,上午,B1,basic,1,10.19,7.19,0,1,minute,2
T03652,P0887,2026-04-13,上午,B2,case,0,35.96,9.9,0,0,minute,1
T03653,P0370,2026-04-13,上午,B1,basic,1,12.8,4.81,0,1,minute,1
T03654,P0479,2026-04-13,下午,B2,basic,1,3.15,5.93,0,1,minute,1
T03655,P1228,2026-04-13,上午,B1,basic,1,10.1,3.35,0,1,minute,1
T03656,P0060,2026-04-13,上午,B2,basic,1,14.33,8.22,0,1,minute,1
T03657,P2546,2026-04-13,下午,B1,basic,0,7.09,8.0,0,1,minute,1
T03658,P1533,2026-04-13,上午,B2,basic,0,15.91,7.9,0,1,minute,1
T03659,P1996,2026-04-13,上午,B1,basic,0,415.2,1.76,0,0,second,1
T03660,P1978,2026-04-13,上午,B2,basic,0,8.46,10.69,0,1,minute,1
T03661,P2179,2026-04-13,上午,B1,basic,0,14.56,12.04,0,1,minute,1
T03662,P1586,2026-04-13,上午,B2,basic,0,3.75,6.73,0,1,minute,1
T03663,P2083,2026-04-13,上午,B1,basic,1,7.79,4.64,0,1,minute,1
T03663,P2083,2026-04-13,上午,B1,basic,1,7.79,4.64,0,1,minute,1
T03664,P1100,2026-04-13,下午,B2,basic,1,9.38,8.08,0,1,minute,1
T03665,P0479,2026-04-13,下午,B1,basic,0,5.39,8.43,0,1,minute,1
T03666,P1498,2026-04-13,下午,B2,basic,1,7.02,2.38,0,1,minute,1
T03667,P2684,2026-04-13,上午,B1,basic,1,6.04,5.26,0,1,minute,1
T03668,P0331,2026-04-13,下午,B2,case,1,6.28,23.59,0,1,minute,1
T03669,P0514,2026-04-13,下午,B1,basic,0,2.26,1.96,0,1,minute,1
T03670,P2330,2026-04-13,上午,B2,basic,0,9.27,4.92,0,1,minute,1
T03671,P1417,2026-04-13,下午,B1,case,0,24.86,16.07,0,0,minute,1
T03672,P0486,2026-04-13,上午,B2,case,0,9.82,30.65,0,1,minute,1
T03673,P1493,2026-04-13,上午,B1,basic,1,6.94,3.68,0,1,minute,1
T03674,P2478,2026-04-13,下午,B2,basic,0,25.35,2.62,0,1,minute,1
T03675,P2685,2026-04-13,上午,B1,basic,1,7.39,3.69,0,1,minute,1
T03676,P0522,2026-04-13,上午,B2,basic,1,39.98,4.35,0,1,minute,1
T03677,P2621,2026-04-13,上午,B1,case,0,63.37,5.74,0,0,minute,1
T03678,P0872,2026-04-13,上午,B2,basic,1,6.35,7.66,0,0,minute,1
T03679,P0386,2026-04-13,下午,B1,basic,1,5.18,4.69,0,1,minute,1
T03680,P1538,2026-04-13,上午,B2,basic,1,4.22,1.37,0,1,minute,1
T03681,P1562,2026-04-13,上午,C1,basic,1,3.18,3.62,0,1,minute,1
T03682,P0829,2026-04-13,下午,C2,case,0,11.28,17.61,0,1,minute,1
T03683,P1112,2026-04-13,上午,C1,case,0,46.31,,1,0,minute,1
T03684,P0770,2026-04-13,上午,C2,case,1,29.06,12.08,0,0,minute,1
T03685,P0369,2026-04-13,上午,C1,case,0,5.5,5.13,0,1,minute,1
T03686,P0654,2026-04-13,上午,C2,case,0,45.07,20.01,0,0,minute,1
T03687,P0733,2026-04-13,上午,C1,basic,1,12.43,6.62,0,1,minute,1
T03688,P0579,2026-04-13,上午,C2,basic,1,367.8,4.63,0,1,second,1
T03689,P1357,2026-04-13,上午,C1,case,0,24.11,17.5,0,1,minute,1
T03690,P0135,2026-04-13,下午,C2,case,0,20.99,28.59,0,0,minute,1
T03691,P1855,2026-04-13,上午,C1,basic,1,8.83,9.45,0,1,minute,1
T03692,P1521,2026-04-13,上午,C2,basic,0,14.32,10.68,0,1,minute,1
T03693,P1131,2026-04-13,下午,C1,case,0,24.03,16.71,0,1,minute,1
T03694,P0202,2026-04-13,上午,C2,basic,1,6.02,8.16,0,1,minute,1
T03694,P0202,2026-04-13,上午,C2,basic,1,6.02,8.16,0,1,minute,1
T03695,P0993,2026-04-13,上午,C1,case,0,34.8,6.41,0,1,minute,1
T03696,P0515,2026-04-13,下午,C2,case,0,20.49,21.06,0,1,minute,1
T03697,P0307,2026-04-13,上午,C1,case,0,53.98,32.74,0,1,minute,1
T03698,P1579,2026-04-13,下午,C2,case,0,11.31,12.93,0,1,minute,1
T03698,P1579,2026-04-13,下午,C2,case,0,10.18,12.93,0,1,minute,2
T03699,P2520,2026-04-13,上午,C1,case,1,20.04,17.92,0,1,minute,1
T03700,P1097,2026-04-13,上午,C2,basic,0,19.93,5.07,0,1,minute,1
T03701,P0203,2026-04-13,上午,C1,case,1,24.9,20.41,0,1,minute,1
T03702,P1137,2026-04-13,下午,C2,basic,1,2.02,3.04,0,1,minute,1
T03703,P2041,2026-04-13,上午,C1,case,1,19.04,19.3,0,0,minute,1
T03704,P0474,2026-04-13,上午,C2,case,1,24.57,20.3,0,1,minute,1
T03705,P2368,2026-04-13,上午,C1,case,0,18.62,10.36,0,1,minute,1
T03706,P1687,2026-04-13,上午,C2,basic,1,6.48,6.75,0,1,minute,1
T03707,P2140,2026-04-13,上午,C1,case,0,17.24,18.48,0,1,minute,1
T03708,P2165,2026-04-13,上午,C2,basic,0,4.56,13.14,0,1,minute,1
T03709,P1017,2026-04-13,上午,C1,case,0,9.94,17.49,0,1,minute,1
T03710,P0627,2026-04-13,上午,C2,case,0,32.87,4.81,0,1,minute,1
T03711,P1660,2026-04-13,下午,C1,case,0,26.43,,1,0,minute,1
T03712,P0130,2026-04-13,下午,C2,basic,0,5.24,12.65,0,1,minute,1
T03713,P2530,2026-04-13,下午,C1,case,0,15.4,5.75,0,1,minute,1
T03714,P0545,2026-04-13,下午,C2,case,0,24.02,16.86,0,0,minute,1
T03715,P0039,2026-04-13,下午,C1,basic,1,3.03,17.33,0,1,minute,1
T03716,P0911,2026-04-13,上午,C2,case,0,52.32,5.66,0,1,minute,1
T03717,P1535,2026-04-13,上午,C1,basic,1,584.4,4.59,0,1,second,1
T03718,P1031,2026-04-13,上午,C2,basic,0,6.63,4.08,0,1,minute,1
T03719,P1721,2026-04-13,上午,C1,basic,1,999,8.96,0,1,minute,1
T03720,P2163,2026-04-13,下午,C2,basic,0,15.25,7.56,0,1,minute,1
T03721,P2327,2026-04-14,上午,A1,basic,1,3.4,8.44,0,1,minute,1
T03722,P0780,2026-04-14,上午,A2,case,0,10.5,30.15,0,1,minute,1
T03723,P2167,2026-04-14,上午,A1,case,0,22.88,13.84,0,1,minute,1
T03724,P2159,2026-04-14,上午,A2,basic,1,3.5,5.45,0,1,minute,1
T03725,P0390,2026-04-14,下午,A1,basic,1,9.22,4.38,0,1,minute,1
T03725,P0390,2026-04-14,下午,A1,basic,1,9.22,4.38,0,1,minute,1
T03726,P2009,2026-04-14,下午,A2,basic,1,6.19,2.09,0,1,minute,1
T03727,P0285,2026-04-14,上午,A1,basic,1,4.58,8.51,0,1,minute,1
T03728,P1466,2026-04-14,上午,A2,case,0,14.95,11.58,0,0,minute,1
T03729,P2097,2026-04-14,上午,A1,case,0,54.59,,1,0,minute,1
T03730,P1070,2026-04-14,上午,A2,case,1,16.98,28.65,0,1,minute,1
T03731,P1337,2026-04-14,上午,A1,case,1,47.56,8.9,0,1,minute,1
T03732,P1832,2026-04-14,上午,A2,case,0,7.59,21.88,0,1,minute,1
T03733,P1694,2026-04-14,下午,A1,case,1,9.47,5.5,0,1,minute,1
T03734,P0354,2026-04-14,下午,A2,case,0,18.16,47.28,0,1,minute,1
T03735,P2360,2026-04-14,上午,A1,case,0,44.36,5.17,0,1,minute,1
T03736,P2254,2026-04-14,上午,A2,case,0,13.48,10.43,0,0,minute,1
T03737,P0731,2026-04-14,上午,A1,case,1,22.85,1.83,0,1,minute,1
T03738,P0585,2026-04-14,下午,A2,case,1,8.92,12.15,0,1,minute,1
T03739,P2344,2026-04-14,上午,A1,,0,16.15,3.26,0,0,minute,1
T03740,P1809,2026-04-14,上午,A2,basic,1,4.07,19.27,0,1,minute,1
T03741,P2263,2026-04-14,下午,A1,case,0,5.25,9.73,0,0,minute,1
T03742,P2664,2026-04-14,下午,A2,case,1,3.76,5.46,0,1,minute,1
T03743,P1372,2026-04-14,下午,A1,case,0,20.77,10.44,0,1,minute,1
T03744,P0867,2026-04-14,上午,A2,case,1,13.39,9.64,0,1,minute,1
T03745,P0918,2026-04-14,上午,A1,case,0,19.77,17.27,0,0,minute,1
T03745,P0918,2026-04-14,上午,A1,case,0,17.79,17.27,0,0,minute,2
T03746,P1292,2026-04-14,下午,A2,case,0,1018.2,12.89,0,1,second,1
T03747,P1590,2026-04-14,上午,A1,basic,1,7.32,10.2,0,1,minute,1
T03748,P2366,2026-04-14,下午,A2,case,0,11.05,20.78,0,1,minute,1
T03749,P0941,2026-04-14,上午,A1,case,0,16.17,14.61,0,1,minute,1
T03750,P0606,2026-04-14,上午,A2,case,0,6.55,6.08,0,1,minute,1
T03751,P1804,2026-04-14,下午,A1,case,0,6.78,25.17,0,1,minute,1
T03752,P0023,2026-04-14,上午,A2,case,1,9.02,23.37,0,0,minute,1
T03753,P1956,2026-04-14,上午,A1,case,0,20.09,20.58,0,1,minute,1
T03754,P0837,2026-04-14,下午,A2,case,0,12.6,8.7,0,1,minute,1
T03755,P2353,2026-04-14,下午,A1,case,1,6.82,14.97,0,1,minute,1
T03756,P0143,2026-04-14,下午,A2,case,0,10.42,16.38,0,1,minute,1
T03756,P0143,2026-04-14,下午,A2,case,0,10.42,16.38,0,1,minute,1
T03757,P0023,2026-04-14,上午,A1,case,0,27.44,,1,0,minute,1
T03758,P1592,2026-04-14,上午,A2,case,0,5.23,4.05,0,1,minute,1
T03759,P2583,2026-04-14,上午,A1,case,0,21.18,18.84,0,1,minute,1
T03760,P0539,2026-04-14,下午,A2,case,0,15.21,10.86,0,1,minute,1
T03761,P0787,2026-04-14,上午,B1,case,0,29.44,11.27,0,1,minute,1
T03762,P0588,2026-04-14,上午,B2,basic,1,6.91,5.05,0,1,minute,1
T03763,P1875,2026-04-14,上午,B1,basic,0,6.48,6.09,0,1,minute,1
T03764,P1749,2026-04-14,下午,B2,basic,1,13.54,2.99,0,1,minute,1
T03765,P2154,2026-04-14,上午,B1,basic,1,6.81,6.0,0,1,minute,1
T03766,P2520,2026-04-14,上午,B2,basic,0,-1,1.25,0,1,minute,1
T03767,P1425,2026-04-14,下午,B1,basic,0,5.76,3.77,0,1,minute,1
T03768,P2485,2026-04-14,上午,B2,basic,1,12.13,19.06,0,1,minute,1
T03769,P1333,2026-04-14,上午,B1,case,1,10.26,20.82,0,0,minute,1
T03770,P0979,2026-04-14,下午,B2,case,0,16.58,21.52,0,1,minute,1
T03771,P1879,2026-04-14,上午,B1,basic,1,11.37,4.94,0,0,minute,1
T03772,P1495,2026-04-14,下午,B2,basic,1,5.79,1.98,0,1,minute,1
T03773,P0858,2026-04-14,上午,B1,case,0,57.29,17.85,0,1,minute,1
T03774,P1765,2026-04-14,上午,B2,basic,0,3.32,17.01,0,1,minute,1
T03775,P0207,2026-04-14,上午,B1,basic,0,543.0,15.22,0,1,second,1
T03776,P1190,2026-04-14,上午,B2,basic,0,7.56,14.86,0,1,minute,1
T03777,P2434,2026-04-14,上午,B1,basic,1,6.19,5.31,0,1,minute,1
T03778,P2281,2026-04-14,下午,B2,basic,1,4.27,4.78,0,,minute,1
T03779,P0556,2026-04-14,下午,B1,case,0,14.25,17.55,0,1,minute,1
T03780,P0879,2026-04-14,上午,B2,basic,0,4.91,6.04,0,1,minute,1
T03781,P0301,2026-04-14,上午,B1,case,0,12.53,10.51,0,1,minute,1
T03782,P2052,2026-04-14,下午,B2,basic,1,2.97,5.06,0,1,minute,1
T03783,P2611,2026-04-14,上午,B1,basic,1,6.28,4.85,0,1,minute,1
T03784,P1654,2026-04-14,下午,B2,basic,1,7.36,10.73,0,1,minute,1
T03785,P0760,2026-04-14,上午,B1,basic,0,6.84,15.35,0,1,minute,1
T03786,P2560,2026-04-14,上午,B2,case,1,13.12,13.56,0,0,minute,1
T03787,P2656,2026-04-14,下午,B1,basic,0,3.02,5.23,0,1,minute,1
