contact_id,ticket_id,contact_sequence,contact_type,contact_date,staff_minutes
T00001-1,T00001,1,首次受理,2026-03-02,8.33
T00001-2,T00001,2,补充沟通,2026-03-02,19.0
T00002-1,T00002,1,首次受理,2026-03-02,9.13
T00002-2,T00002,2,补充沟通,2026-03-02,9.55
T00002-3,T00002,3,补充沟通,2026-03-02,17.82
T00003-1,T00003,1,首次受理,2026-03-02,17.12
T00003-2,T00003,2,补充沟通,2026-03-02,9.47
T00004-1,T00004,1,首次受理,2026-03-02,7.56
T00005-1,T00005,1,首次受理,2026-03-02,8.75
T00005-2,T00005,2,补充沟通,2026-03-02,18.74
T00005-3,T00005,3,补充沟通,2026-03-02,11.31
T00006-1,T00006,1,首次受理,2026-03-02,18.83
T00006-2,T00006,2,补充沟通,2026-03-02,11.56
T00007-1,T00007,1,首次受理,2026-03-02,16.02
T00007-2,T00007,2,补充沟通,2026-03-02,3.68
T00008-1,T00008,1,首次受理,2026-03-02,17.74
T00008-2,T00008,2,补充沟通,2026-03-02,5.41
T00008-3,T00008,3,补充沟通,2026-03-02,9.8
T00009-1,T00009,1,首次受理,2026-03-02,6.34
T00009-2,T00009,2,补充沟通,2026-03-02,8.34
T00010-1,T00010,1,首次受理,2026-03-02,7.76
T00010-2,T00010,2,补充沟通,2026-03-02,18.28
T00011-1,T00011,1,首次受理,2026-03-02,19.25
T00011-2,T00011,2,补充沟通,2026-03-02,16.51
T00012-1,T00012,1,首次受理,2026-03-02,18.15
T00012-2,T00012,2,补充沟通,2026-03-02,12.31
T00012-3,T00012,3,补充沟通,2026-03-02,11.62
T00013-1,T00013,1,首次受理,2026-03-02,11.57
T00013-2,T00013,2,补充沟通,2026-03-02,15.4
T00013-3,T00013,3,补充沟通,2026-03-02,9.92
T00014-1,T00014,1,首次受理,2026-03-02,4.6
T00014-2,T00014,2,补充沟通,2026-03-02,10.52
T00014-3,T00014,3,补充沟通,2026-03-02,10.13
T00015-1,T00015,1,首次受理,2026-03-02,13.73
T00015-2,T00015,2,补充沟通,2026-03-02,8.56
T00016-1,T00016,1,首次受理,2026-03-02,5.29
T00016-2,T00016,2,补充沟通,2026-03-02,14.68
T00016-3,T00016,3,补充沟通,2026-03-02,12.45
T00017-1,T00017,1,首次受理,2026-03-02,14.91
T00017-2,T00017,2,补充沟通,2026-03-02,10.06
T00017-3,T00017,3,补充沟通,2026-03-02,7.27
T00018-1,T00018,1,首次受理,2026-03-02,4.27
T00018-2,T00018,2,补充沟通,2026-03-02,7.02
T00018-3,T00018,3,补充沟通,2026-03-02,11.03
T00019-1,T00019,1,首次受理,2026-03-02,4.99
T00020-1,T00020,1,首次受理,2026-03-02,6.86
T00020-2,T00020,2,补充沟通,2026-03-02,18.55
T00021-1,T00021,1,首次受理,2026-03-02,8.92
T00021-2,T00021,2,补充沟通,2026-03-02,3.8
T00022-1,T00022,1,首次受理,2026-03-02,9.11
T00023-1,T00023,1,首次受理,2026-03-02,16.68
T00023-2,T00023,2,补充沟通,2026-03-02,4.13
T00024-1,T00024,1,首次受理,2026-03-02,10.11
T00024-2,T00024,2,补充沟通,2026-03-02,11.0
T00025-1,T00025,1,首次受理,2026-03-02,3.91
T00025-2,T00025,2,补充沟通,2026-03-02,4.97
T00025-3,T00025,3,补充沟通,2026-03-02,13.95
T00026-1,T00026,1,首次受理,2026-03-02,11.39
T00026-2,T00026,2,补充沟通,2026-03-02,10.76
T00027-1,T00027,1,首次受理,2026-03-02,16.31
T00027-2,T00027,2,补充沟通,2026-03-02,8.83
T00028-1,T00028,1,首次受理,2026-03-02,10.39
T00028-2,T00028,2,补充沟通,2026-03-02,6.02
T00028-3,T00028,3,补充沟通,2026-03-02,16.14
T00029-1,T00029,1,首次受理,2026-03-02,9.7
T00029-2,T00029,2,补充沟通,2026-03-02,7.08
T00029-3,T00029,3,补充沟通,2026-03-02,5.44
T00030-1,T00030,1,首次受理,2026-03-02,5.83
T00030-2,T00030,2,补充沟通,2026-03-02,5.7
T00030-3,T00030,3,补充沟通,2026-03-02,12.43
T00031-1,T00031,1,首次受理,2026-03-02,18.01
T00031-2,T00031,2,补充沟通,2026-03-02,12.59
T00032-1,T00032,1,首次受理,2026-03-02,13.65
T00032-2,T00032,2,补充沟通,2026-03-02,12.87
T00033-1,T00033,1,首次受理,2026-03-02,9.47
T00033-2,T00033,2,补充沟通,2026-03-02,10.4
T00034-1,T00034,1,首次受理,2026-03-02,17.83
T00034-2,T00034,2,补充沟通,2026-03-02,18.37
T00035-1,T00035,1,首次受理,2026-03-02,5.57
T00036-1,T00036,1,首次受理,2026-03-02,7.13
T00037-1,T00037,1,首次受理,2026-03-02,3.07
T00038-1,T00038,1,首次受理,2026-03-02,10.16
T00038-2,T00038,2,补充沟通,2026-03-02,7.06
T00039-1,T00039,1,首次受理,2026-03-02,14.13
T00039-2,T00039,2,补充沟通,2026-03-02,7.67
T00039-3,T00039,3,补充沟通,2026-03-02,6.22
T00040-1,T00040,1,首次受理,2026-03-02,15.46
T00040-2,T00040,2,补充沟通,2026-03-02,15.75
T00040-3,T00040,3,补充沟通,2026-03-02,14.45
T00041-1,T00041,1,首次受理,2026-03-02,7.15
T00041-2,T00041,2,补充沟通,2026-03-02,7.38
T00042-1,T00042,1,首次受理,2026-03-02,9.17
T00043-1,T00043,1,首次受理,2026-03-02,6.22
T00044-1,T00044,1,首次受理,2026-03-02,6.33
T00045-1,T00045,1,首次受理,2026-03-02,6.07
T00046-1,T00046,1,首次受理,2026-03-02,8.22
T00046-2,T00046,2,补充沟通,2026-03-02,8.25
T00047-1,T00047,1,首次受理,2026-03-02,7.92
T00048-1,T00048,1,首次受理,2026-03-02,8.6
T00048-2,T00048,2,补充沟通,2026-03-02,8.78
T00049-1,T00049,1,首次受理,2026-03-02,5.55
T00050-1,T00050,1,首次受理,2026-03-02,10.04
T00051-1,T00051,1,首次受理,2026-03-02,3.27
T00052-1,T00052,1,首次受理,2026-03-02,7.68
